each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0(0.5):B220,000.00,[100.00,160.00,100.00]	5(0.5):A100,000.00,[100.00,100.00,100.00]	10(0.5):C180,000.00,[100.00,100.00,140.00]	15(0.5):B000,000.00,[100.00,050.00,100.00]	20(0.5):C000,000.00,[100.00,100.00,050.00]	25(0.5):B000,000.00,[100.00,050.00,100.00]	30(0.5):A100,000.00,[100.00,100.00,100.00]	35(0.5):B220,000.00,[100.00,160.00,100.00]	40(0.5):B000,000.00,[100.00,050.00,100.00]	45(0.5):B220,000.00,[100.00,160.00,100.00]	
0(0.5):B000,000.00,[100.00,080.00,100.00]	5(0.5):B000,000.00,[100.00,050.00,100.00]	10(0.5):C000,000.00,[100.00,100.00,070.00]	15(0.5):A100,000.00,[100.00,050.00,100.00]	20(0.5):C180,000.00,[100.00,100.00,115.00]	25(0.5):A100,000.00,[100.00,050.00,100.00]	30(0.5):C180,000.00,[100.00,100.00,140.00]	35(0.5):B000,000.00,[100.00,080.00,100.00]	40(0.5):B220,000.00,[100.00,135.00,100.00]	45(0.5):B000,000.00,[100.00,080.00,100.00]	
0(0.5):C000,000.00,[100.00,080.00,050.00]	5(0.5):A100,000.00,[100.00,050.00,100.00]	10(0.5):B000,000.00,[100.00,050.00,070.00]	15(0.5):C000,000.00,[100.00,050.00,050.00]	20(0.5):A100,000.00,[100.00,100.00,115.00]	25(0.5):C000,000.00,[100.00,050.00,050.00]	30(0.5):C000,000.00,[100.00,100.00,070.00]	35(0.5):C180,000.00,[100.00,080.00,140.00]	40(0.5):B000,000.00,[100.00,067.50,100.00]	45(0.5):A100,000.00,[100.00,080.00,100.00]	
0(0.5):A100,000.00,[100.00,080.00,050.00]	5(0.5):C180,000.00,[100.00,050.00,140.00]	10(0.5):C000,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,050.00,050.00]	20(0.5):C180,000.00,[100.00,100.00,147.50]	25(0.5):A100,000.00,[100.00,050.00,050.00]	30(0.5):A100,000.00,[100.00,100.00,070.00]	35(0.5):C180,000.00,[100.00,080.00,160.00]	40(0.5):B220,000.00,[100.00,143.75,100.00]	45(0.5):C000,000.00,[100.00,080.00,050.00]	
0(0.5):A100,000.00,[100.00,080.00,050.00]	5(0.5):C180,000.00,[100.00,050.00,160.00]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,050.00,050.00]	20(0.5):C000,000.00,[100.00,100.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,050.00]	30(0.5):B000,000.00,[100.00,050.00,070.00]	35(0.5):A100,000.00,[100.00,080.00,160.00]	40(0.5):B220,000.00,[100.00,181.88,100.00]	45(0.5):B220,000.00,[100.00,150.00,050.00]	
0(0.5):A100,000.00,[100.00,080.00,050.00]	5(0.5):A100,000.00,[100.00,050.00,160.00]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,050.00,050.00]	20(0.5):A100,000.00,[100.00,100.00,073.75]	25(0.5):C000,000.00,[100.00,050.00,025.00]	30(0.5):C000,000.00,[100.00,050.00,035.00]	35(0.5):C000,000.00,[100.00,080.00,080.00]	40(0.5):B220,000.00,[100.00,200.94,100.00]	45(0.5):A100,000.00,[100.00,150.00,050.00]	
0(0.5):B220,000.00,[100.00,150.00,050.00]	5(0.5):C000,000.00,[100.00,050.00,080.00]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,050.00,050.00]	20(0.5):B000,000.00,[100.00,050.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):B000,000.00,[100.00,100.47,100.00]	45(0.5):B220,000.00,[100.00,185.00,050.00]	
0(0.5):B220,000.00,[100.00,185.00,050.00]	5(0.5):A100,000.00,[100.00,050.00,080.00]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,050.00,050.00]	20(0.5):A100,000.00,[100.00,050.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):A100,000.00,[100.00,100.47,100.00]	45(0.5):B220,000.00,[100.00,202.50,050.00]	
0(0.5):B000,000.00,[100.00,092.50,050.00]	5(0.5):C180,000.00,[100.00,050.00,130.00]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,050.00,050.00]	20(0.5):A100,000.00,[100.00,050.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):A100,000.00,[100.00,100.47,100.00]	45(0.5):B000,000.00,[100.00,101.25,050.00]	
0(0.5):A100,000.00,[100.00,092.50,050.00]	5(0.5):C180,000.00,[100.00,050.00,155.00]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,050.00,050.00]	20(0.5):A100,000.00,[100.00,050.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):B220,000.00,[100.00,160.23,100.00]	45(0.5):A100,000.00,[100.00,101.25,050.00]	
0(0.5):B000,000.00,[100.00,046.25,050.00]	5(0.5):C180,000.00,[100.00,050.00,167.50]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,050.00,050.00]	20(0.5):A100,000.00,[100.00,050.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):B220,000.00,[100.00,190.12,100.00]	45(0.5):C180,000.00,[100.00,101.25,115.00]	
