each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0(0.9707531378156651):C180,000.00,[100.00,100.00,177.66]	5(0.7705088670486384):C000,000.00,[100.00,100.00,022.95]	10(0.8355806542225742):C180,000.00,[100.00,100.00,166.85]	15(0.9822956760931559):C180,000.00,[100.00,100.00,178.58]	20(0.7855106713254913):A100,000.00,[100.00,100.00,100.00]	25(0.9425405465777279):B220,000.00,[100.00,213.10,100.00]	30(0.8779386337424437):B220,000.00,[100.00,205.35,100.00]	35(0.9699558941023613):B000,000.00,[100.00,003.00,100.00]	40(0.9574887449544895):C180,000.00,[100.00,100.00,176.60]	45(0.9073281649410789):C000,000.00,[100.00,100.00,009.27]	
0(0.9707531378156651):C000,000.00,[100.00,100.00,005.20]	5(0.7705088670486384):A100,000.00,[100.00,100.00,022.95]	10(0.8355806542225742):C180,000.00,[100.00,100.00,177.84]	15(0.9822956760931559):C180,000.00,[100.00,100.00,179.97]	20(0.7855106713254913):C000,000.00,[100.00,100.00,021.45]	25(0.9425405465777279):B000,000.00,[100.00,012.24,100.00]	30(0.8779386337424437):B220,000.00,[100.00,218.21,100.00]	35(0.9699558941023613):A100,000.00,[100.00,003.00,100.00]	40(0.9574887449544895):C180,000.00,[100.00,100.00,179.86]	45(0.9073281649410789):A100,000.00,[100.00,100.00,009.27]	
0(0.9707531378156651):B000,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,100.00,022.95]	10(0.8355806542225742):C180,000.00,[100.00,100.00,179.64]	15(0.9822956760931559):C180,000.00,[100.00,100.00,180.00]	20(0.7855106713254913):B220,000.00,[100.00,194.26,021.45]	25(0.9425405465777279):C000,000.00,[100.00,012.24,005.75]	30(0.8779386337424437):B220,000.00,[100.00,219.78,100.00]	35(0.9699558941023613):C000,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):C180,000.00,[100.00,100.00,179.99]	45(0.9073281649410789):A100,000.00,[100.00,100.00,009.27]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):B000,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):C000,000.00,[100.00,100.00,029.54]	15(0.9822956760931559):C180,000.00,[100.00,100.00,180.00]	20(0.7855106713254913):B000,000.00,[100.00,041.67,021.45]	25(0.9425405465777279):A100,000.00,[100.00,012.24,005.75]	30(0.8779386337424437):B220,000.00,[100.00,219.97,100.00]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):C180,000.00,[100.00,100.00,180.00]	45(0.9073281649410789):B000,000.00,[100.00,009.27,009.27]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):B000,000.00,[100.00,016.44,029.54]	15(0.9822956760931559):C180,000.00,[100.00,100.00,180.00]	20(0.7855106713254913):A100,000.00,[100.00,041.67,021.45]	25(0.9425405465777279):A100,000.00,[100.00,012.24,005.75]	30(0.8779386337424437):B000,000.00,[100.00,026.85,100.00]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):C180,000.00,[100.00,100.00,180.00]	45(0.9073281649410789):A100,000.00,[100.00,009.27,009.27]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,029.54]	15(0.9822956760931559):C000,000.00,[100.00,100.00,003.19]	20(0.7855106713254913):A100,000.00,[100.00,041.67,021.45]	25(0.9425405465777279):C180,000.00,[100.00,012.24,169.99]	30(0.8779386337424437):A100,000.00,[100.00,026.85,100.00]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):C000,000.00,[100.00,100.00,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,009.27]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):C000,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):B220,000.00,[100.00,217.88,003.19]	20(0.7855106713254913):B220,000.00,[100.00,181.75,021.45]	25(0.9425405465777279):C000,000.00,[100.00,012.24,009.77]	30(0.8779386337424437):C000,000.00,[100.00,026.85,012.21]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):B000,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):C180,000.00,[100.00,009.27,164.18]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):B220,000.00,[100.00,219.96,003.19]	20(0.7855106713254913):B000,000.00,[100.00,038.98,021.45]	25(0.9425405465777279):C180,000.00,[100.00,012.24,170.22]	30(0.8779386337424437):A100,000.00,[100.00,026.85,012.21]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):C180,000.00,[100.00,009.27,178.53]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):B000,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,038.98,021.45]	25(0.9425405465777279):C000,000.00,[100.00,012.24,009.78]	30(0.8779386337424437):A100,000.00,[100.00,026.85,012.21]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):C000,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,038.98,021.45]	25(0.9425405465777279):A100,000.00,[100.00,012.24,009.78]	30(0.8779386337424437):A100,000.00,[100.00,026.85,012.21]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,038.98,021.45]	25(0.9425405465777279):A100,000.00,[100.00,012.24,009.78]	30(0.8779386337424437):A100,000.00,[100.00,026.85,012.21]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
