each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 150

0(0.8493334933504274):B000,000.00,[100.00,015.07,100.00]	5(0.983764922782997):A100,000.00,[100.00,100.00,100.00]	10(0.8388034796705606):C000,000.00,[100.00,100.00,016.12]	15(0.9664544881356996):B000,000.00,[100.00,003.35,100.00]	20(0.8483400584192395):A100,000.00,[100.00,100.00,100.00]	25(0.8341739652855668):A100,000.00,[100.00,100.00,100.00]	30(0.9189414450697958):A100,000.00,[100.00,100.00,100.00]	35(0.8361202145146155):A100,000.00,[100.00,100.00,100.00]	40(0.9439003266372861):A100,000.00,[100.00,100.00,100.00]	45(0.9380973655811716):A100,000.00,[100.00,100.00,100.00]	
0(0.8493334933504274):C000,000.00,[100.00,015.07,015.07]	5(0.983764922782997):A100,000.00,[100.00,100.00,100.00]	10(0.8388034796705606):B220,000.00,[100.00,200.66,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,100.00]	20(0.8483400584192395):C180,000.00,[100.00,100.00,167.87]	25(0.8341739652855668):B000,000.00,[100.00,016.58,100.00]	30(0.9189414450697958):A100,000.00,[100.00,100.00,100.00]	35(0.8361202145146155):B000,000.00,[100.00,016.39,100.00]	40(0.9439003266372861):C000,000.00,[100.00,100.00,005.61]	45(0.9380973655811716):A100,000.00,[100.00,100.00,100.00]	
0(0.8493334933504274):A100,000.00,[100.00,015.07,015.07]	5(0.983764922782997):A100,000.00,[100.00,100.00,100.00]	10(0.8388034796705606):B000,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):C000,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):C180,000.00,[100.00,100.00,178.16]	25(0.8341739652855668):C000,000.00,[100.00,016.58,016.58]	30(0.9189414450697958):C000,000.00,[100.00,100.00,008.11]	35(0.8361202145146155):C000,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):B000,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):C180,000.00,[100.00,100.00,175.05]	
0(0.8493334933504274):B000,000.00,[100.00,002.27,015.07]	5(0.983764922782997):B000,000.00,[100.00,001.62,100.00]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):C000,000.00,[100.00,100.00,027.02]	25(0.8341739652855668):A100,000.00,[100.00,016.58,016.58]	30(0.9189414450697958):A100,000.00,[100.00,100.00,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):C180,000.00,[100.00,100.00,179.69]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,100.00]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):A100,000.00,[100.00,100.00,027.02]	25(0.8341739652855668):B220,000.00,[100.00,186.27,016.58]	30(0.9189414450697958):B220,000.00,[100.00,210.27,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):C000,000.00,[100.00,100.00,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):C000,000.00,[100.00,001.62,001.62]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):A100,000.00,[100.00,100.00,027.02]	25(0.8341739652855668):B220,000.00,[100.00,214.41,016.58]	30(0.9189414450697958):B220,000.00,[100.00,219.21,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):B220,000.00,[100.00,212.57,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,001.62]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):A100,000.00,[100.00,100.00,027.02]	25(0.8341739652855668):B000,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):B220,000.00,[100.00,219.94,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):B220,000.00,[100.00,219.54,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,001.62]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):A100,000.00,[100.00,100.00,027.02]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):B220,000.00,[100.00,219.99,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):B220,000.00,[100.00,219.97,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,001.62]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):C000,000.00,[100.00,100.00,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):B220,000.00,[100.00,220.00,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):B220,000.00,[100.00,220.00,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,001.62]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):A100,000.00,[100.00,100.00,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):B220,000.00,[100.00,220.00,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):B000,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,001.62]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):A100,000.00,[100.00,100.00,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):B000,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,001.62]	10(0.8388034796705606):A100,000.00,[100.00,032.35,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):B220,000.00,[100.00,201.80,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,001.62]	10(0.8388034796705606):B000,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):B220,000.00,[100.00,217.24,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):C000,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):B000,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,003.35]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):C000,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,016.39]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):C000,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
