each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0(0.9757411692371509):B220,000.00,[100.00,217.09,100.00]	5(0.5572757900992285):B000,000.00,[100.00,044.27,100.00]	10(0.7418463673798982):A100,000.00,[100.00,100.00,100.00]	15(0.9532464735462983):C180,000.00,[100.00,100.00,176.26]	20(0.8278766041239687):A100,000.00,[100.00,100.00,100.00]	25(0.8710570453279252):B220,000.00,[100.00,204.53,100.00]	30(0.8683100773997333):A100,000.00,[100.00,100.00,100.00]	35(0.7940969962967598):A100,000.00,[100.00,100.00,100.00]	40(0.5301969421807858):C000,000.00,[100.00,100.00,046.98]	45(0.949792281974926):C180,000.00,[100.00,100.00,175.98]	
0(0.9757411692371509):B000,000.00,[100.00,005.27,100.00]	5(0.5572757900992285):C180,000.00,[100.00,044.27,144.58]	10(0.7418463673798982):C000,000.00,[100.00,100.00,025.82]	15(0.9532464735462983):C180,000.00,[100.00,100.00,179.83]	20(0.8278766041239687):B000,000.00,[100.00,017.21,100.00]	25(0.8710570453279252):B220,000.00,[100.00,218.00,100.00]	30(0.8683100773997333):C180,000.00,[100.00,100.00,169.46]	35(0.7940969962967598):A100,000.00,[100.00,100.00,100.00]	40(0.5301969421807858):A100,000.00,[100.00,100.00,046.98]	45(0.949792281974926):C180,000.00,[100.00,100.00,179.80]	
0(0.9757411692371509):A100,000.00,[100.00,005.27,100.00]	5(0.5572757900992285):C000,000.00,[100.00,044.27,064.01]	10(0.7418463673798982):B220,000.00,[100.00,189.02,025.82]	15(0.9532464735462983):C180,000.00,[100.00,100.00,179.99]	20(0.8278766041239687):C000,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):B220,000.00,[100.00,219.74,100.00]	30(0.8683100773997333):C180,000.00,[100.00,100.00,178.61]	35(0.7940969962967598):A100,000.00,[100.00,100.00,100.00]	40(0.5301969421807858):A100,000.00,[100.00,100.00,046.98]	45(0.949792281974926):C000,000.00,[100.00,100.00,009.03]	
0(0.9757411692371509):A100,000.00,[100.00,005.27,100.00]	5(0.5572757900992285):C180,000.00,[100.00,044.27,128.65]	10(0.7418463673798982):B220,000.00,[100.00,212.00,025.82]	15(0.9532464735462983):C180,000.00,[100.00,100.00,180.00]	20(0.8278766041239687):A100,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):B000,000.00,[100.00,028.33,100.00]	30(0.8683100773997333):C180,000.00,[100.00,100.00,179.82]	35(0.7940969962967598):B000,000.00,[100.00,020.59,100.00]	40(0.5301969421807858):A100,000.00,[100.00,100.00,046.98]	45(0.949792281974926):B000,000.00,[100.00,005.02,009.03]	
0(0.9757411692371509):A100,000.00,[100.00,005.27,100.00]	5(0.5572757900992285):A100,000.00,[100.00,044.27,128.65]	10(0.7418463673798982):B220,000.00,[100.00,217.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,100.00,180.00]	20(0.8278766041239687):A100,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):C000,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):C180,000.00,[100.00,100.00,179.98]	35(0.7940969962967598):A100,000.00,[100.00,020.59,100.00]	40(0.5301969421807858):B000,000.00,[100.00,046.98,046.98]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.03]	
0(0.9757411692371509):C180,000.00,[100.00,005.27,178.06]	5(0.5572757900992285):C180,000.00,[100.00,044.27,157.27]	10(0.7418463673798982):B220,000.00,[100.00,219.47,025.82]	15(0.9532464735462983):C000,000.00,[100.00,100.00,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):C000,000.00,[100.00,100.00,023.70]	35(0.7940969962967598):C180,000.00,[100.00,020.59,163.53]	40(0.5301969421807858):A100,000.00,[100.00,046.98,046.98]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.03]	
0(0.9757411692371509):C180,000.00,[100.00,005.27,179.95]	5(0.5572757900992285):C000,000.00,[100.00,044.27,069.63]	10(0.7418463673798982):B000,000.00,[100.00,056.66,025.82]	15(0.9532464735462983):A100,000.00,[100.00,100.00,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,100.00,023.70]	35(0.7940969962967598):C000,000.00,[100.00,020.59,033.67]	40(0.5301969421807858):A100,000.00,[100.00,046.98,046.98]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.03]	
0(0.9757411692371509):C000,000.00,[100.00,005.27,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,069.63]	10(0.7418463673798982):A100,000.00,[100.00,056.66,025.82]	15(0.9532464735462983):B000,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):B220,000.00,[100.00,204.20,023.70]	35(0.7940969962967598):A100,000.00,[100.00,020.59,033.67]	40(0.5301969421807858):A100,000.00,[100.00,046.98,046.98]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.03]	
0(0.9757411692371509):A100,000.00,[100.00,005.27,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,069.63]	10(0.7418463673798982):A100,000.00,[100.00,056.66,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):B220,000.00,[100.00,217.92,023.70]	35(0.7940969962967598):A100,000.00,[100.00,020.59,033.67]	40(0.5301969421807858):A100,000.00,[100.00,046.98,046.98]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.03]	
0(0.9757411692371509):A100,000.00,[100.00,005.27,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,069.63]	10(0.7418463673798982):A100,000.00,[100.00,056.66,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):B000,000.00,[100.00,028.70,023.70]	35(0.7940969962967598):A100,000.00,[100.00,020.59,033.67]	40(0.5301969421807858):A100,000.00,[100.00,046.98,046.98]	45(0.949792281974926):C180,000.00,[100.00,005.02,171.42]	
0(0.9757411692371509):A100,000.00,[100.00,005.27,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,069.63]	10(0.7418463673798982):A100,000.00,[100.00,056.66,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,017.21]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,028.70,023.70]	35(0.7940969962967598):A100,000.00,[100.00,020.59,033.67]	40(0.5301969421807858):A100,000.00,[100.00,046.98,046.98]	45(0.949792281974926):C180,000.00,[100.00,005.02,179.57]	
