each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 250

0(0.26996307377190604):A100,000.00,[100.00,100.00,100.00]	5(0.642830467967244):A100,000.00,[100.00,100.00,100.00]	10(0.7508997625793153):B000,000.00,[100.00,024.91,100.00]	15(0.020226127264129052):A100,000.00,[100.00,100.00,100.00]	20(0.25632136120506804):B000,000.00,[100.00,074.37,100.00]	25(0.7469695536870593):C000,000.00,[100.00,100.00,025.30]	30(0.9167515591709043):B000,000.00,[100.00,008.32,100.00]	35(0.19824604514577443):B220,000.00,[100.00,123.79,100.00]	40(0.041329442377927475):A100,000.00,[100.00,100.00,100.00]	45(0.8742484786605949):A100,000.00,[100.00,100.00,100.00]	
0(0.26996307377190604):C000,000.00,[100.00,100.00,073.00]	5(0.642830467967244):A100,000.00,[100.00,100.00,100.00]	10(0.7508997625793153):A100,000.00,[100.00,024.91,100.00]	15(0.020226127264129052):B000,000.00,[100.00,097.98,100.00]	20(0.25632136120506804):C180,000.00,[100.00,074.37,120.51]	25(0.7469695536870593):B000,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,100.00]	35(0.19824604514577443):C000,000.00,[100.00,123.79,080.18]	40(0.041329442377927475):B000,000.00,[100.00,095.87,100.00]	45(0.8742484786605949):A100,000.00,[100.00,100.00,100.00]	
0(0.26996307377190604):A100,000.00,[100.00,100.00,073.00]	5(0.642830467967244):A100,000.00,[100.00,100.00,100.00]	10(0.7508997625793153):A100,000.00,[100.00,024.91,100.00]	15(0.020226127264129052):A100,000.00,[100.00,097.98,100.00]	20(0.25632136120506804):C000,000.00,[100.00,074.37,089.62]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,100.00]	35(0.19824604514577443):B220,000.00,[100.00,142.86,080.18]	40(0.041329442377927475):B220,000.00,[100.00,101.00,100.00]	45(0.8742484786605949):B000,000.00,[100.00,012.58,100.00]	
0(0.26996307377190604):B220,000.00,[100.00,132.40,073.00]	5(0.642830467967244):C000,000.00,[100.00,100.00,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,100.00]	15(0.020226127264129052):C180,000.00,[100.00,097.98,101.62]	20(0.25632136120506804):A100,000.00,[100.00,074.37,089.62]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):C180,000.00,[100.00,008.32,173.34]	35(0.19824604514577443):A100,000.00,[100.00,142.86,080.18]	40(0.041329442377927475):A100,000.00,[100.00,101.00,100.00]	45(0.8742484786605949):C180,000.00,[100.00,012.58,169.94]	
0(0.26996307377190604):B220,000.00,[100.00,156.05,073.00]	5(0.642830467967244):A100,000.00,[100.00,100.00,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,100.00]	15(0.020226127264129052):A100,000.00,[100.00,097.98,101.62]	20(0.25632136120506804):A100,000.00,[100.00,074.37,089.62]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):C180,000.00,[100.00,008.32,179.45]	35(0.19824604514577443):B000,000.00,[100.00,114.54,080.18]	40(0.041329442377927475):A100,000.00,[100.00,101.00,100.00]	45(0.8742484786605949):C000,000.00,[100.00,012.58,021.37]	
0(0.26996307377190604):B220,000.00,[100.00,173.31,073.00]	5(0.642830467967244):A100,000.00,[100.00,100.00,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,100.00]	15(0.020226127264129052):A100,000.00,[100.00,097.98,101.62]	20(0.25632136120506804):A100,000.00,[100.00,074.37,089.62]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):C180,000.00,[100.00,008.32,179.95]	35(0.19824604514577443):B000,000.00,[100.00,091.83,080.18]	40(0.041329442377927475):B000,000.00,[100.00,096.82,100.00]	45(0.8742484786605949):A100,000.00,[100.00,012.58,021.37]	
0(0.26996307377190604):B220,000.00,[100.00,185.92,073.00]	5(0.642830467967244):B220,000.00,[100.00,177.14,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,100.00]	15(0.020226127264129052):C180,000.00,[100.00,097.98,103.20]	20(0.25632136120506804):A100,000.00,[100.00,074.37,089.62]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):C180,000.00,[100.00,008.32,180.00]	35(0.19824604514577443):A100,000.00,[100.00,091.83,080.18]	40(0.041329442377927475):A100,000.00,[100.00,096.82,100.00]	45(0.8742484786605949):A100,000.00,[100.00,012.58,021.37]	
0(0.26996307377190604):B000,000.00,[100.00,135.72,073.00]	5(0.642830467967244):B220,000.00,[100.00,204.69,035.72]	10(0.7508997625793153):C000,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,097.98,103.20]	20(0.25632136120506804):A100,000.00,[100.00,074.37,089.62]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):C180,000.00,[100.00,008.32,180.00]	35(0.19824604514577443):A100,000.00,[100.00,091.83,080.18]	40(0.041329442377927475):A100,000.00,[100.00,096.82,100.00]	45(0.8742484786605949):C180,000.00,[100.00,012.58,160.05]	
0(0.26996307377190604):B220,000.00,[100.00,158.48,073.00]	5(0.642830467967244):B220,000.00,[100.00,214.53,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):B220,000.00,[100.00,100.45,103.20]	20(0.25632136120506804):A100,000.00,[100.00,074.37,089.62]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):C000,000.00,[100.00,008.32,014.98]	35(0.19824604514577443):A100,000.00,[100.00,091.83,080.18]	40(0.041329442377927475):A100,000.00,[100.00,096.82,100.00]	45(0.8742484786605949):C180,000.00,[100.00,012.58,177.49]	
0(0.26996307377190604):B000,000.00,[100.00,115.69,073.00]	5(0.642830467967244):B220,000.00,[100.00,218.05,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,100.45,103.20]	20(0.25632136120506804):A100,000.00,[100.00,074.37,089.62]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,014.98]	35(0.19824604514577443):A100,000.00,[100.00,091.83,080.18]	40(0.041329442377927475):B000,000.00,[100.00,092.82,100.00]	45(0.8742484786605949):C000,000.00,[100.00,012.58,022.32]	
0(0.26996307377190604):A100,000.00,[100.00,115.69,073.00]	5(0.642830467967244):B220,000.00,[100.00,219.30,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):B000,000.00,[100.00,098.41,103.20]	20(0.25632136120506804):C000,000.00,[100.00,074.37,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,014.98]	35(0.19824604514577443):A100,000.00,[100.00,091.83,080.18]	40(0.041329442377927475):C000,000.00,[100.00,092.82,095.87]	45(0.8742484786605949):A100,000.00,[100.00,012.58,022.32]	
