each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0(0.6980211689127522):A100,000.00,[100.00,100.00,100.00]	5(0.9732000662288641):B220,000.00,[100.00,216.78,100.00]	10(0.6650886450032619):B220,000.00,[100.00,179.81,100.00]	15(0.7077438594693404):A100,000.00,[100.00,100.00,100.00]	20(0.7549875835166742):A100,000.00,[100.00,100.00,100.00]	25(0.6136255502310676):C180,000.00,[100.00,100.00,149.09]	30(0.7347927496016697):C180,000.00,[100.00,100.00,158.78]	35(0.962539992730944):C180,000.00,[100.00,100.00,177.00]	40(0.8182365658967593):C000,000.00,[100.00,100.00,018.18]	45(0.8509414693728281):B220,000.00,[100.00,202.11,100.00]	
0(0.6980211689127522):C180,000.00,[100.00,100.00,155.84]	5(0.9732000662288641):B220,000.00,[100.00,219.91,100.00]	10(0.6650886450032619):B220,000.00,[100.00,206.54,100.00]	15(0.7077438594693404):A100,000.00,[100.00,100.00,100.00]	20(0.7549875835166742):B220,000.00,[100.00,190.60,100.00]	25(0.6136255502310676):C180,000.00,[100.00,100.00,168.06]	30(0.7347927496016697):B000,000.00,[100.00,026.52,158.78]	35(0.962539992730944):C180,000.00,[100.00,100.00,179.89]	40(0.8182365658967593):A100,000.00,[100.00,100.00,018.18]	45(0.8509414693728281):B220,000.00,[100.00,217.33,100.00]	
0(0.6980211689127522):C180,000.00,[100.00,100.00,172.70]	5(0.9732000662288641):B000,000.00,[100.00,005.89,100.00]	10(0.6650886450032619):B000,000.00,[100.00,069.17,100.00]	15(0.7077438594693404):C000,000.00,[100.00,100.00,029.23]	20(0.7549875835166742):B000,000.00,[100.00,046.70,100.00]	25(0.6136255502310676):C000,000.00,[100.00,100.00,064.93]	30(0.7347927496016697):C000,000.00,[100.00,026.52,042.11]	35(0.962539992730944):B220,000.00,[100.00,215.50,179.89]	40(0.8182365658967593):B220,000.00,[100.00,198.19,018.18]	45(0.8509414693728281):B220,000.00,[100.00,219.60,100.00]	
0(0.6980211689127522):C180,000.00,[100.00,100.00,177.80]	5(0.9732000662288641):C000,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,069.17,100.00]	15(0.7077438594693404):B220,000.00,[100.00,184.93,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,100.00]	25(0.6136255502310676):A100,000.00,[100.00,100.00,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,042.11]	35(0.962539992730944):B000,000.00,[100.00,008.07,179.89]	40(0.8182365658967593):B220,000.00,[100.00,216.04,018.18]	45(0.8509414693728281):B000,000.00,[100.00,032.73,100.00]	
0(0.6980211689127522):C000,000.00,[100.00,100.00,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,069.17,100.00]	15(0.7077438594693404):B000,000.00,[100.00,054.05,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,100.00]	25(0.6136255502310676):B220,000.00,[100.00,173.64,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,042.11]	35(0.962539992730944):C180,000.00,[100.00,008.07,180.00]	40(0.8182365658967593):B220,000.00,[100.00,219.28,018.18]	45(0.8509414693728281):C180,000.00,[100.00,032.73,168.08]	
0(0.6980211689127522):B220,000.00,[100.00,183.76,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):C000,000.00,[100.00,069.17,033.49]	15(0.7077438594693404):A100,000.00,[100.00,054.05,029.23]	20(0.7549875835166742):C000,000.00,[100.00,046.70,024.50]	25(0.6136255502310676):B220,000.00,[100.00,202.09,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,042.11]	35(0.962539992730944):C180,000.00,[100.00,008.07,180.00]	40(0.8182365658967593):B000,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):C000,000.00,[100.00,032.73,025.05]	
0(0.6980211689127522):B000,000.00,[100.00,055.49,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,069.17,033.49]	15(0.7077438594693404):A100,000.00,[100.00,054.05,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,024.50]	25(0.6136255502310676):B220,000.00,[100.00,213.08,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,042.11]	35(0.962539992730944):C180,000.00,[100.00,008.07,180.00]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.73,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,069.17,033.49]	15(0.7077438594693404):A100,000.00,[100.00,054.05,029.23]	20(0.7549875835166742):C180,000.00,[100.00,046.70,141.90]	25(0.6136255502310676):B220,000.00,[100.00,217.33,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,042.11]	35(0.962539992730944):C180,000.00,[100.00,008.07,180.00]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.73,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,069.17,033.49]	15(0.7077438594693404):A100,000.00,[100.00,054.05,029.23]	20(0.7549875835166742):C180,000.00,[100.00,046.70,170.67]	25(0.6136255502310676):B220,000.00,[100.00,218.97,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,042.11]	35(0.962539992730944):C000,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.73,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,069.17,033.49]	15(0.7077438594693404):A100,000.00,[100.00,054.05,029.23]	20(0.7549875835166742):C000,000.00,[100.00,046.70,041.82]	25(0.6136255502310676):B000,000.00,[100.00,084.60,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,042.11]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.73,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,069.17,033.49]	15(0.7077438594693404):A100,000.00,[100.00,054.05,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,041.82]	25(0.6136255502310676):B000,000.00,[100.00,032.69,064.93]	30(0.7347927496016697):C000,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.73,025.05]	
