each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:C000, 0.00,100.00,100.00,50.00	5:B220, 1.10,100.00,160.00,100.00	10:C180, 0.90,100.00,100.00,140.00	15:C180, 0.90,100.00,100.00,140.00	20:C180, 0.90,100.00,100.00,140.00	25:B000, 0.00,100.00,50.00,100.00	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:C180, 0.90,100.00,100.00,140.00	45:A100, 0.50,100.00,100.00,100.00	
0:B220, 1.10,100.00,160.00,50.00	5:B220, 2.20,100.00,190.00,100.00	10:C180, 1.80,100.00,100.00,160.00	15:C180, 1.80,100.00,100.00,160.00	20:C000, 0.90,100.00,100.00,70.00	25:C000, 0.00,100.00,50.00,50.00	30:C000, 0.50,100.00,100.00,50.00	35:B220, 1.60,100.00,160.00,100.00	40:C180, 1.80,100.00,100.00,160.00	45:C000, 0.50,100.00,100.00,50.00	
0:B220, 2.20,100.00,190.00,50.00	5:B000, 2.20,100.00,95.00,100.00	10:C000, 1.80,100.00,100.00,80.00	15:C180, 2.70,100.00,100.00,170.00	20:A100, 1.40,100.00,100.00,70.00	25:A100, 0.50,100.00,50.00,50.00	30:B220, 1.60,100.00,160.00,50.00	35:B000, 1.60,100.00,80.00,100.00	40:C180, 2.70,100.00,100.00,170.00	45:A100, 1.00,100.00,100.00,50.00	
0:B220, 3.30,100.00,205.00,50.00	5:C000, 2.20,100.00,95.00,50.00	10:B000, 1.80,100.00,50.00,80.00	15:C180, 3.60,100.00,100.00,175.00	20:B220, 2.50,100.00,160.00,70.00	25:A100, 1.00,100.00,50.00,50.00	30:B220, 2.70,100.00,190.00,50.00	35:A100, 2.10,100.00,80.00,100.00	40:A100, 3.20,100.00,100.00,170.00	45:A100, 1.50,100.00,100.00,50.00	
0:B220, 4.40,100.00,212.50,50.00	5:A100, 2.70,100.00,95.00,50.00	10:A100, 2.30,100.00,50.00,80.00	15:C180, 4.50,100.00,100.00,177.50	20:B000, 2.50,100.00,80.00,70.00	25:A100, 1.50,100.00,50.00,50.00	30:B220, 3.80,100.00,205.00,50.00	35:A100, 2.60,100.00,80.00,100.00	40:C000, 3.20,100.00,100.00,85.00	45:A100, 2.00,100.00,100.00,50.00	
0:B220, 5.50,100.00,216.25,50.00	5:B220, 3.80,100.00,157.50,50.00	10:A100, 2.80,100.00,50.00,80.00	15:C000, 4.50,100.00,100.00,88.75	20:A100, 3.00,100.00,80.00,70.00	25:A100, 2.00,100.00,50.00,50.00	30:B220, 4.90,100.00,212.50,50.00	35:C180, 3.50,100.00,80.00,140.00	40:A100, 3.70,100.00,100.00,85.00	45:A100, 2.50,100.00,100.00,50.00	
0:B000, 5.50,100.00,108.13,50.00	5:B220, 4.90,100.00,188.75,50.00	10:C000, 2.80,100.00,50.00,40.00	15:A100, 5.00,100.00,100.00,88.75	20:A100, 3.50,100.00,80.00,70.00	25:A100, 2.50,100.00,50.00,50.00	30:B220, 6.00,100.00,216.25,50.00	35:C000, 3.50,100.00,80.00,70.00	40:A100, 4.20,100.00,100.00,85.00	45:A100, 3.00,100.00,100.00,50.00	
0:B220, 6.60,100.00,164.06,50.00	5:B220, 6.00,100.00,204.38,50.00	10:A100, 3.30,100.00,50.00,40.00	15:C000, 5.00,100.00,100.00,44.38	20:A100, 4.00,100.00,80.00,70.00	25:B220, 3.60,100.00,135.00,50.00	30:B220, 7.10,100.00,218.13,50.00	35:A100, 4.00,100.00,80.00,70.00	40:A100, 4.70,100.00,100.00,85.00	45:B000, 3.00,100.00,50.00,50.00	
0:B000, 6.60,100.00,82.03,50.00	5:B000, 6.00,100.00,102.19,50.00	10:A100, 3.80,100.00,50.00,40.00	15:A100, 5.50,100.00,100.00,44.38	20:A100, 4.50,100.00,80.00,70.00	25:B220, 4.70,100.00,177.50,50.00	30:A100, 7.60,100.00,218.13,50.00	35:C180, 4.90,100.00,80.00,125.00	40:A100, 5.20,100.00,100.00,85.00	45:A100, 3.50,100.00,50.00,50.00	
0:A100, 7.10,100.00,82.03,50.00	5:B220, 7.10,100.00,161.09,50.00	10:A100, 4.30,100.00,50.00,40.00	15:B000, 5.50,100.00,50.00,44.38	20:C000, 4.50,100.00,80.00,35.00	25:B000, 4.70,100.00,88.75,50.00	30:B220, 8.70,100.00,219.06,50.00	35:C180, 5.80,100.00,80.00,152.50	40:B220, 6.30,100.00,160.00,85.00	45:B220, 4.60,100.00,135.00,50.00	
0:B220, 8.20,100.00,151.02,50.00	5:B220, 8.20,100.00,190.55,50.00	10:A100, 4.80,100.00,50.00,40.00	15:A100, 6.00,100.00,50.00,44.38	20:A100, 5.00,100.00,80.00,35.00	25:B000, 4.70,100.00,44.38,50.00	30:B000, 8.70,100.00,109.53,50.00	35:C000, 5.80,100.00,80.00,76.25	40:B220, 7.40,100.00,190.00,85.00	45:B000, 4.60,100.00,67.50,50.00	
0:B000, 8.20,100.00,75.51,50.00	5:B220, 9.30,100.00,205.27,50.00	10:A100, 5.30,100.00,50.00,40.00	15:A100, 6.50,100.00,50.00,44.38	20:A100, 5.50,100.00,80.00,35.00	25:A100, 5.20,100.00,44.38,50.00	30:B220, 9.80,100.00,164.77,50.00	35:A100, 6.30,100.00,80.00,76.25	40:B220, 8.50,100.00,205.00,85.00	45:A100, 5.10,100.00,67.50,50.00	
0:B000, 8.20,100.00,37.75,50.00	5:B000, 9.30,100.00,102.64,50.00	10:A100, 5.80,100.00,50.00,40.00	15:C180, 7.40,100.00,50.00,112.19	20:B000, 5.50,100.00,40.00,35.00	25:A100, 5.70,100.00,44.38,50.00	30:B000, 9.80,100.00,82.38,50.00	35:C000, 6.30,100.00,80.00,38.13	40:B220, 9.60,100.00,212.50,85.00	45:A100, 5.60,100.00,67.50,50.00	
0:A100, 8.70,100.00,37.75,50.00	5:A100, 9.80,100.00,102.64,50.00	10:B000, 5.80,100.00,25.00,40.00	15:A100, 7.90,100.00,50.00,112.19	20:A100, 6.00,100.00,40.00,35.00	25:A100, 6.20,100.00,44.38,50.00	30:C180,10.70,100.00,82.38,115.00	35:A100, 6.80,100.00,80.00,38.13	40:B220,10.70,100.00,216.25,85.00	45:B220, 6.70,100.00,143.75,50.00	
0:A100, 9.20,100.00,37.75,50.00	5:A100,10.30,100.00,102.64,50.00	10:A100, 6.30,100.00,25.00,40.00	15:C180, 8.80,100.00,50.00,146.09	20:A100, 6.50,100.00,40.00,35.00	25:C180, 7.10,100.00,44.38,115.00	30:C180,11.60,100.00,82.38,147.50	35:B000, 6.80,100.00,40.00,38.13	40:B000,10.70,100.00,108.13,85.00	45:B000, 6.70,100.00,71.88,50.00	
0:A100, 9.70,100.00,37.75,50.00	5:B000,10.30,100.00,51.32,50.00	10:A100, 6.80,100.00,25.00,40.00	15:C180, 9.70,100.00,50.00,163.05	20:A100, 7.00,100.00,40.00,35.00	25:C180, 8.00,100.00,44.38,147.50	30:A100,12.10,100.00,82.38,147.50	35:A100, 7.30,100.00,40.00,38.13	40:C180,11.60,100.00,108.13,132.50	45:A100, 7.20,100.00,71.88,50.00	
0:A100,10.20,100.00,37.75,50.00	5:A100,10.80,100.00,51.32,50.00	10:A100, 7.30,100.00,25.00,40.00	15:A100,10.20,100.00,50.00,163.05	20:A100, 7.50,100.00,40.00,35.00	25:C000, 8.00,100.00,44.38,73.75	30:C000,12.10,100.00,82.38,73.75	35:A100, 7.80,100.00,40.00,38.13	40:A100,12.10,100.00,108.13,132.50	45:A100, 7.70,100.00,71.88,50.00	
0:A100,10.70,100.00,37.75,50.00	5:C180,11.70,100.00,51.32,115.00	10:A100, 7.80,100.00,25.00,40.00	15:C180,11.10,100.00,50.00,171.52	20:A100, 8.00,100.00,40.00,35.00	25:A100, 8.50,100.00,44.38,73.75	30:B220,13.20,100.00,151.19,73.75	35:A100, 8.30,100.00,40.00,38.13	40:C000,12.10,100.00,108.13,66.25	45:A100, 8.20,100.00,71.88,50.00	
0:C000,10.70,100.00,37.75,25.00	5:C000,11.70,100.00,51.32,57.50	10:A100, 8.30,100.00,25.00,40.00	15:C180,12.00,100.00,50.00,175.76	20:A100, 8.50,100.00,40.00,35.00	25:A100, 9.00,100.00,44.38,73.75	30:B000,13.20,100.00,75.60,73.75	35:A100, 8.80,100.00,40.00,38.13	40:B220,13.20,100.00,164.06,66.25	45:A100, 8.70,100.00,71.88,50.00	
0:A100,11.20,100.00,37.75,25.00	5:C180,12.60,100.00,51.32,118.75	10:A100, 8.80,100.00,25.00,40.00	15:C000,12.00,100.00,50.00,87.88	20:A100, 9.00,100.00,40.00,35.00	25:C180, 9.90,100.00,44.38,126.88	30:A100,13.70,100.00,75.60,73.75	35:A100, 9.30,100.00,40.00,38.13	40:B000,13.20,100.00,82.03,66.25	45:B000, 8.70,100.00,35.94,50.00	
0:A100,11.70,100.00,37.75,25.00	5:A100,13.10,100.00,51.32,118.75	10:A100, 9.30,100.00,25.00,40.00	15:C000,12.00,100.00,50.00,43.94	20:A100, 9.50,100.00,40.00,35.00	25:C000, 9.90,100.00,44.38,63.44	30:A100,14.20,100.00,75.60,73.75	35:C000, 9.30,100.00,40.00,19.06	40:B000,13.20,100.00,41.02,66.25	45:A100, 9.20,100.00,35.94,50.00	
0:A100,12.20,100.00,37.75,25.00	5:A100,13.60,100.00,51.32,118.75	10:A100, 9.80,100.00,25.00,40.00	15:A100,12.50,100.00,50.00,43.94	20:A100,10.00,100.00,40.00,35.00	25:A100,10.40,100.00,44.38,63.44	30:B000,14.20,100.00,37.80,73.75	35:A100, 9.80,100.00,40.00,19.06	40:A100,13.70,100.00,41.02,66.25	45:A100, 9.70,100.00,35.94,50.00	
0:A100,12.70,100.00,37.75,25.00	5:C000,13.60,100.00,51.32,59.38	10:A100,10.30,100.00,25.00,40.00	15:A100,13.00,100.00,50.00,43.94	20:A100,10.50,100.00,40.00,35.00	25:A100,10.90,100.00,44.38,63.44	30:A100,14.70,100.00,37.80,73.75	35:A100,10.30,100.00,40.00,19.06	40:A100,14.20,100.00,41.02,66.25	45:A100,10.20,100.00,35.94,50.00	
0:A100,13.20,100.00,37.75,25.00	5:A100,14.10,100.00,51.32,59.38	10:A100,10.80,100.00,25.00,40.00	15:B220,14.10,100.00,135.00,43.94	20:A100,11.00,100.00,40.00,35.00	25:C000,10.90,100.00,44.38,31.72	30:A100,15.20,100.00,37.80,73.75	35:A100,10.80,100.00,40.00,19.06	40:A100,14.70,100.00,41.02,66.25	45:B000,10.20,100.00,17.97,50.00	
0:A100,13.70,100.00,37.75,25.00	5:A100,14.60,100.00,51.32,59.38	10:A100,11.30,100.00,25.00,40.00	15:B000,14.10,100.00,67.50,43.94	20:A100,11.50,100.00,40.00,35.00	25:A100,11.40,100.00,44.38,31.72	30:A100,15.70,100.00,37.80,73.75	35:A100,11.30,100.00,40.00,19.06	40:C180,15.60,100.00,41.02,123.13	45:A100,10.70,100.00,17.97,50.00	
