each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0:B220, 1.10,100.00,177.10,100.00	5:B000, 0.00,100.00,39.65,100.00	10:C180, 0.90,100.00,100.00,144.61	15:B000, 0.00,100.00, 8.60,100.00	20:C000, 0.00,100.00,100.00,50.37	25:C000, 0.00,100.00,100.00,25.36	30:A100, 0.50,100.00,100.00,100.00	35:C180, 0.90,100.00,100.00,153.23	40:A100, 0.50,100.00,100.00,100.00	45:C180, 0.90,100.00,100.00,155.03	
0:B000, 1.10,100.00,63.31,100.00	5:C180, 0.90,100.00,39.65,148.28	10:C180, 1.80,100.00,100.00,164.34	15:C000, 0.00,100.00, 8.60, 8.60	20:A100, 0.50,100.00,100.00,50.37	25:A100, 0.50,100.00,100.00,25.36	30:B220, 1.60,100.00,212.88,100.00	35:C000, 0.90,100.00,100.00,51.27	40:B220, 1.60,100.00,169.47,100.00	45:C180, 1.80,100.00,100.00,172.21	
0:A100, 1.60,100.00,63.31,100.00	5:C180, 1.80,100.00,39.65,167.43	10:C180, 2.70,100.00,100.00,173.07	15:A100, 0.50,100.00, 8.60, 8.60	20:B220, 1.60,100.00,159.56,50.37	25:A100, 1.00,100.00,100.00,25.36	30:B000, 1.60,100.00,12.62,100.00	35:A100, 1.40,100.00,100.00,51.27	40:B220, 2.70,100.00,198.72,100.00	45:C000, 1.80,100.00,100.00,53.74	
0:A100, 2.10,100.00,63.31,100.00	5:C000, 1.80,100.00,39.65,66.38	10:C180, 3.60,100.00,100.00,176.94	15:A100, 1.00,100.00, 8.60, 8.60	20:B220, 2.70,100.00,189.55,50.37	25:A100, 1.50,100.00,100.00,25.36	30:C000, 1.60,100.00,12.62, 5.93	35:A100, 1.90,100.00,100.00,51.27	40:B220, 3.80,100.00,211.04,100.00	45:B000, 1.80,100.00,31.21,53.74	
0:B220, 3.20,100.00,163.99,100.00	5:A100, 2.30,100.00,39.65,66.38	10:C000, 3.60,100.00,100.00,78.28	15:A100, 1.50,100.00, 8.60, 8.60	20:B220, 3.80,100.00,204.66,50.37	25:A100, 2.00,100.00,100.00,25.36	30:A100, 2.10,100.00,12.62, 5.93	35:A100, 2.40,100.00,100.00,51.27	40:B220, 4.90,100.00,216.23,100.00	45:C000, 1.80,100.00,31.21,16.77	
0:B000, 3.20,100.00,58.62,100.00	5:A100, 2.80,100.00,39.65,66.38	10:B000, 3.60,100.00,44.24,78.28	15:A100, 2.00,100.00, 8.60, 8.60	20:B220, 4.90,100.00,212.28,50.37	25:A100, 2.50,100.00,100.00,25.36	30:A100, 2.60,100.00,12.62, 5.93	35:A100, 2.90,100.00,100.00,51.27	40:B220, 6.00,100.00,218.41,100.00	45:A100, 2.30,100.00,31.21,16.77	
0:C180, 4.10,100.00,58.62,151.40	5:C180, 3.70,100.00,39.65,134.95	10:B000, 3.60,100.00,19.57,78.28	15:A100, 2.50,100.00, 8.60, 8.60	20:B000, 4.90,100.00,106.92,50.37	25:B220, 3.60,100.00,189.57,25.36	30:A100, 3.10,100.00,12.62, 5.93	35:A100, 3.40,100.00,100.00,51.27	40:B000, 6.00,100.00,91.97,100.00	45:A100, 2.80,100.00,31.21,16.77	
0:C180, 5.00,100.00,58.62,169.78	5:C000, 3.70,100.00,39.65,53.50	10:C180, 4.50,100.00,19.57,135.00	15:A100, 3.00,100.00, 8.60, 8.60	20:B220, 6.00,100.00,163.04,50.37	25:B220, 4.70,100.00,212.28,25.36	30:A100, 3.60,100.00,12.62, 5.93	35:B000, 3.40,100.00,33.46,51.27	40:A100, 6.50,100.00,91.97,100.00	45:A100, 3.30,100.00,31.21,16.77	
0:C180, 5.90,100.00,58.62,176.35	5:B000, 3.70,100.00,15.72,53.50	10:C000, 4.50,100.00,19.57,59.72	15:A100, 3.50,100.00, 8.60, 8.60	20:B000, 6.00,100.00,82.13,50.37	25:B220, 5.80,100.00,218.04,25.36	30:A100, 4.10,100.00,12.62, 5.93	35:C180, 4.30,100.00,33.46,136.93	40:C180, 7.40,100.00,91.97,146.31	45:A100, 3.80,100.00,31.21,16.77	
0:C180, 6.80,100.00,58.62,178.69	5:A100, 4.20,100.00,15.72,53.50	10:A100, 5.00,100.00,19.57,59.72	15:A100, 4.00,100.00, 8.60, 8.60	20:A100, 6.50,100.00,82.13,50.37	25:B220, 6.90,100.00,219.50,25.36	30:A100, 4.60,100.00,12.62, 5.93	35:C180, 5.20,100.00,33.46,165.59	40:A100, 7.90,100.00,91.97,146.31	45:A100, 4.30,100.00,31.21,16.77	
0:C000, 6.80,100.00,58.62,63.88	5:A100, 4.70,100.00,15.72,53.50	10:A100, 5.50,100.00,19.57,59.72	15:A100, 4.50,100.00, 8.60, 8.60	20:A100, 7.00,100.00,82.13,50.37	25:B220, 8.00,100.00,219.87,25.36	30:A100, 5.10,100.00,12.62, 5.93	35:C000, 5.20,100.00,33.46,55.40	40:C180, 8.80,100.00,91.97,165.81	45:A100, 4.80,100.00,31.21,16.77	
0:A100, 7.30,100.00,58.62,63.88	5:A100, 5.20,100.00,15.72,53.50	10:A100, 6.00,100.00,19.57,59.72	15:A100, 5.00,100.00, 8.60, 8.60	20:A100, 7.50,100.00,82.13,50.37	25:B220, 9.10,100.00,219.97,25.36	30:A100, 5.60,100.00,12.62, 5.93	35:A100, 5.70,100.00,33.46,55.40	40:C180, 9.70,100.00,91.97,174.03	45:A100, 5.30,100.00,31.21,16.77	
0:A100, 7.80,100.00,58.62,63.88	5:A100, 5.70,100.00,15.72,53.50	10:A100, 6.50,100.00,19.57,59.72	15:C000, 5.00,100.00, 8.60, 0.74	20:A100, 8.00,100.00,82.13,50.37	25:B220,10.20,100.00,219.99,25.36	30:A100, 6.10,100.00,12.62, 5.93	35:A100, 6.20,100.00,33.46,55.40	40:C000, 9.70,100.00,91.97,73.28	45:A100, 5.80,100.00,31.21,16.77	
