each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100, 0.50,100.00,100.00,100.00	5:A100, 0.50,100.00,100.00,100.00	10:A100, 0.50,100.00,100.00,100.00	15:A100, 0.50,100.00,100.00,100.00	20:B220, 1.10,100.00,200.13,100.00	25:C000, 0.00,100.00,100.00,10.39	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:A100, 0.50,100.00,100.00,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:B220, 1.60,100.00,193.19,100.00	5:A100, 1.00,100.00,100.00,100.00	10:C180, 1.40,100.00,100.00,165.92	15:B220, 1.60,100.00,199.51,100.00	20:B000, 1.10,100.00,33.14,100.00	25:A100, 0.50,100.00,100.00,10.39	30:C180, 1.40,100.00,100.00,170.12	35:B000, 0.50,100.00,13.52,100.00	40:C000, 0.50,100.00,100.00,32.07	45:C000, 0.50,100.00,100.00,28.22	
0:B220, 2.70,100.00,214.01,100.00	5:B000, 1.00,100.00,16.60,100.00	10:C000, 1.40,100.00,100.00,29.20	15:B220, 2.70,100.00,216.50,100.00	20:A100, 1.60,100.00,33.14,100.00	25:A100, 1.00,100.00,100.00,10.39	30:B000, 1.40,100.00,12.35,170.12	35:A100, 1.00,100.00,13.52,100.00	40:A100, 1.00,100.00,100.00,32.07	45:A100, 1.00,100.00,100.00,28.22	
0:B220, 3.80,100.00,218.66,100.00	5:C180, 1.90,100.00,16.60,166.72	10:B000, 1.40,100.00,17.60,29.20	15:B000, 2.70,100.00,36.96,100.00	20:C180, 2.50,100.00,33.14,166.75	25:B220, 2.10,100.00,207.53,10.39	30:C180, 2.30,100.00,12.35,178.78	35:C000, 1.00,100.00,13.52,13.52	40:A100, 1.50,100.00,100.00,32.07	45:A100, 1.50,100.00,100.00,28.22	
0:B220, 4.90,100.00,219.70,100.00	5:C000, 1.90,100.00,16.60,27.67	10:A100, 1.90,100.00,17.60,29.20	15:C180, 3.60,100.00,36.96,166.34	20:C000, 2.50,100.00,33.14,27.62	25:B220, 3.20,100.00,218.70,10.39	30:C180, 3.20,100.00,12.35,179.85	35:A100, 1.50,100.00,13.52,13.52	40:B220, 2.60,100.00,181.51,32.07	45:A100, 2.00,100.00,100.00,28.22	
0:B220, 6.00,100.00,219.93,100.00	5:A100, 2.40,100.00,16.60,27.67	10:A100, 2.40,100.00,17.60,29.20	15:C180, 4.50,100.00,36.96,177.67	20:A100, 3.00,100.00,33.14,27.62	25:B220, 4.30,100.00,219.87,10.39	30:C000, 3.20,100.00,12.35,22.21	35:C000, 1.50,100.00,13.52, 1.83	40:B220, 3.70,100.00,207.66,32.07	45:B000, 2.00,100.00,28.22,28.22	
0:B220, 7.10,100.00,219.99,100.00	5:A100, 2.90,100.00,16.60,27.67	10:A100, 2.90,100.00,17.60,29.20	15:C000, 4.50,100.00,36.96,30.33	20:B220, 4.10,100.00,189.05,27.62	25:B220, 5.40,100.00,219.99,10.39	30:A100, 3.70,100.00,12.35,22.21	35:A100, 2.00,100.00,13.52, 1.83	40:B220, 4.80,100.00,216.04,32.07	45:A100, 2.50,100.00,28.22,28.22	
0:B220, 8.20,100.00,220.00,100.00	5:A100, 3.40,100.00,16.60,27.67	10:A100, 3.40,100.00,17.60,29.20	15:A100, 5.00,100.00,36.96,30.33	20:A100, 4.60,100.00,189.05,27.62	25:B220, 6.50,100.00,220.00,10.39	30:A100, 4.20,100.00,12.35,22.21	35:A100, 2.50,100.00,13.52, 1.83	40:B220, 5.90,100.00,218.73,32.07	45:A100, 3.00,100.00,28.22,28.22	
0:B220, 9.30,100.00,220.00,100.00	5:A100, 3.90,100.00,16.60,27.67	10:A100, 3.90,100.00,17.60,29.20	15:A100, 5.50,100.00,36.96,30.33	20:B220, 5.70,100.00,214.87,27.62	25:B000, 6.50,100.00,22.86,10.39	30:A100, 4.70,100.00,12.35,22.21	35:A100, 3.00,100.00,13.52, 1.83	40:B220, 7.00,100.00,219.59,32.07	45:A100, 3.50,100.00,28.22,28.22	
0:B220,10.40,100.00,220.00,100.00	5:A100, 4.40,100.00,16.60,27.67	10:A100, 4.40,100.00,17.60,29.20	15:A100, 6.00,100.00,36.96,30.33	20:B000, 5.70,100.00,35.59,27.62	25:A100, 7.00,100.00,22.86,10.39	30:A100, 5.20,100.00,12.35,22.21	35:A100, 3.50,100.00,13.52, 1.83	40:B000, 7.00,100.00,70.43,32.07	45:A100, 4.00,100.00,28.22,28.22	
0:B220,11.50,100.00,220.00,100.00	5:A100, 4.90,100.00,16.60,27.67	10:A100, 4.90,100.00,17.60,29.20	15:A100, 6.50,100.00,36.96,30.33	20:A100, 6.20,100.00,35.59,27.62	25:A100, 7.50,100.00,22.86,10.39	30:A100, 5.70,100.00,12.35,22.21	35:A100, 4.00,100.00,13.52, 1.83	40:B220, 8.10,100.00,172.03,32.07	45:A100, 4.50,100.00,28.22,28.22	
