each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100, 0.50,100.00,100.00,100.00	5:B000, 0.00,100.00,25.55,100.00	10:B000, 0.00,100.00, 7.01,100.00	15:C180, 0.90,100.00,100.00,171.97	20:A100, 0.50,100.00,100.00,100.00	25:C000, 0.00,100.00,100.00,30.57	30:B000, 0.00,100.00, 2.53,100.00	35:C000, 0.00,100.00,100.00,26.43	40:B220, 1.10,100.00,199.14,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:B000, 0.50,100.00, 8.97,100.00	5:A100, 0.50,100.00,25.55,100.00	10:A100, 0.50,100.00, 7.01,100.00	15:C180, 1.80,100.00,100.00,179.19	20:C000, 0.50,100.00,100.00,49.30	25:A100, 0.50,100.00,100.00,30.57	30:C180, 0.90,100.00, 2.53,177.98	35:B000, 0.00,100.00,26.43,26.43	40:B000, 1.10,100.00,34.62,100.00	45:B000, 0.50,100.00, 2.19,100.00	
0:C180, 1.40,100.00, 8.97,172.82	5:A100, 1.00,100.00,25.55,100.00	10:A100, 1.00,100.00, 7.01,100.00	15:C180, 2.70,100.00,100.00,179.92	20:A100, 1.00,100.00,100.00,49.30	25:B220, 1.60,100.00,183.32,30.57	30:C000, 0.90,100.00, 2.53, 4.50	35:A100, 0.50,100.00,26.43,26.43	40:A100, 1.60,100.00,34.62,100.00	45:C180, 1.40,100.00, 2.19,178.25	
0:C000, 1.40,100.00, 8.97,15.50	5:C180, 1.90,100.00,25.55,159.56	10:A100, 1.50,100.00, 7.01,100.00	15:C180, 3.60,100.00,100.00,179.99	20:A100, 1.50,100.00,100.00,49.30	25:B000, 1.60,100.00,56.04,30.57	30:A100, 1.40,100.00, 2.53, 4.50	35:A100, 1.00,100.00,26.43,26.43	40:C000, 1.60,100.00,34.62,17.38	45:C000, 1.40,100.00, 2.19, 3.90	
0:A100, 1.90,100.00, 8.97,15.50	5:C000, 1.90,100.00,25.55,40.77	10:C000, 1.50,100.00, 7.01, 7.01	15:A100, 4.10,100.00,100.00,179.99	20:B000, 1.50,100.00,49.30,49.30	25:A100, 2.10,100.00,56.04,30.57	30:A100, 1.90,100.00, 2.53, 4.50	35:A100, 1.50,100.00,26.43,26.43	40:A100, 2.10,100.00,34.62,17.38	45:A100, 1.90,100.00, 2.19, 3.90	
0:B000, 1.90,100.00, 0.80,15.50	5:A100, 2.40,100.00,25.55,40.77	10:A100, 2.00,100.00, 7.01, 7.01	15:C000, 4.10,100.00,100.00,18.06	20:A100, 2.00,100.00,49.30,49.30	25:B000, 2.10,100.00,17.13,30.57	30:A100, 2.40,100.00, 2.53, 4.50	35:A100, 2.00,100.00,26.43,26.43	40:A100, 2.60,100.00,34.62,17.38	45:A100, 2.40,100.00, 2.19, 3.90	
0:A100, 2.40,100.00, 0.80,15.50	5:A100, 2.90,100.00,25.55,40.77	10:A100, 2.50,100.00, 7.01, 7.01	15:A100, 4.60,100.00,100.00,18.06	20:B220, 3.10,100.00,135.85,49.30	25:A100, 2.60,100.00,17.13,30.57	30:A100, 2.90,100.00, 2.53, 4.50	35:A100, 2.50,100.00,26.43,26.43	40:A100, 3.10,100.00,34.62,17.38	45:A100, 2.90,100.00, 2.19, 3.90	
0:A100, 2.90,100.00, 0.80,15.50	5:C180, 3.80,100.00,25.55,144.42	10:A100, 3.00,100.00, 7.01, 7.01	15:B000, 4.60,100.00,10.03,18.06	20:A100, 3.60,100.00,135.85,49.30	25:A100, 3.10,100.00,17.13,30.57	30:A100, 3.40,100.00, 2.53, 4.50	35:A100, 3.00,100.00,26.43,26.43	40:A100, 3.60,100.00,34.62,17.38	45:A100, 3.40,100.00, 2.19, 3.90	
0:C000, 2.90,100.00, 0.80, 1.39	5:C180, 4.70,100.00,25.55,170.91	10:A100, 3.50,100.00, 7.01, 7.01	15:A100, 5.10,100.00,10.03,18.06	20:B000, 3.60,100.00,66.97,49.30	25:A100, 3.60,100.00,17.13,30.57	30:A100, 3.90,100.00, 2.53, 4.50	35:C000, 3.00,100.00,26.43, 6.98	40:A100, 4.10,100.00,34.62,17.38	45:A100, 3.90,100.00, 2.19, 3.90	
0:A100, 3.40,100.00, 0.80, 1.39	5:C180, 5.60,100.00,25.55,177.68	10:A100, 4.00,100.00, 7.01, 7.01	15:A100, 5.60,100.00,10.03,18.06	20:A100, 4.10,100.00,66.97,49.30	25:A100, 4.10,100.00,17.13,30.57	30:A100, 4.40,100.00, 2.53, 4.50	35:A100, 3.50,100.00,26.43, 6.98	40:A100, 4.60,100.00,34.62,17.38	45:A100, 4.40,100.00, 2.19, 3.90	
0:A100, 3.90,100.00, 0.80, 1.39	5:C180, 6.50,100.00,25.55,179.41	10:A100, 4.50,100.00, 7.01, 7.01	15:A100, 6.10,100.00,10.03,18.06	20:A100, 4.60,100.00,66.97,49.30	25:A100, 4.60,100.00,17.13,30.57	30:A100, 4.90,100.00, 2.53, 4.50	35:A100, 4.00,100.00,26.43, 6.98	40:A100, 5.10,100.00,34.62,17.38	45:A100, 4.90,100.00, 2.19, 3.90	
0:A100, 4.40,100.00, 0.80, 1.39	5:C180, 7.40,100.00,25.55,179.85	10:A100, 5.00,100.00, 7.01, 7.01	15:A100, 6.60,100.00,10.03,18.06	20:A100, 5.10,100.00,66.97,49.30	25:A100, 5.10,100.00,17.13,30.57	30:A100, 5.40,100.00, 2.53, 4.50	35:A100, 4.50,100.00,26.43, 6.98	40:A100, 5.60,100.00,34.62,17.38	45:A100, 5.40,100.00, 2.19, 3.90	
0:A100, 4.90,100.00, 0.80, 1.39	5:C000, 7.40,100.00,25.55,45.96	10:A100, 5.50,100.00, 7.01, 7.01	15:A100, 7.10,100.00,10.03,18.06	20:C180, 6.00,100.00,66.97,115.57	25:A100, 5.60,100.00,17.13,30.57	30:A100, 5.90,100.00, 2.53, 4.50	35:A100, 5.00,100.00,26.43, 6.98	40:A100, 6.10,100.00,34.62,17.38	45:A100, 5.90,100.00, 2.19, 3.90	
0:A100, 5.40,100.00, 0.80, 1.39	5:A100, 7.90,100.00,25.55,45.96	10:A100, 6.00,100.00, 7.01, 7.01	15:A100, 7.60,100.00,10.03,18.06	20:C180, 6.90,100.00,66.97,148.24	25:A100, 6.10,100.00,17.13,30.57	30:A100, 6.40,100.00, 2.53, 4.50	35:A100, 5.50,100.00,26.43, 6.98	40:A100, 6.60,100.00,34.62,17.38	45:A100, 6.40,100.00, 2.19, 3.90	
0:A100, 5.90,100.00, 0.80, 1.39	5:A100, 8.40,100.00,25.55,45.96	10:A100, 6.50,100.00, 7.01, 7.01	15:A100, 8.10,100.00,10.03,18.06	20:C000, 6.90,100.00,66.97,73.07	25:A100, 6.60,100.00,17.13,30.57	30:A100, 6.90,100.00, 2.53, 4.50	35:A100, 6.00,100.00,26.43, 6.98	40:A100, 7.10,100.00,34.62,17.38	45:A100, 6.90,100.00, 2.19, 3.90	
0:A100, 6.40,100.00, 0.80, 1.39	5:A100, 8.90,100.00,25.55,45.96	10:A100, 7.00,100.00, 7.01, 7.01	15:A100, 8.60,100.00,10.03,18.06	20:A100, 7.40,100.00,66.97,73.07	25:A100, 7.10,100.00,17.13,30.57	30:A100, 7.40,100.00, 2.53, 4.50	35:A100, 6.50,100.00,26.43, 6.98	40:A100, 7.60,100.00,34.62,17.38	45:A100, 7.40,100.00, 2.19, 3.90	
