each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:A100,00.50,[100.00,100.00,100.00]	5:A100,00.50,[100.00,100.00,100.00]	10:C180,00.90,[100.00,100.00,140.00]	15:C000,00.00,[100.00,100.00,50.00]	20:A100,00.50,[100.00,100.00,100.00]	25:A100,00.50,[100.00,100.00,100.00]	30:A100,00.50,[100.00,100.00,100.00]	35:C000,00.00,[100.00,100.00,50.00]	40:C000,00.00,[100.00,100.00,50.00]	45:A100,00.50,[100.00,100.00,100.00]	
0:C180,01.40,[100.00,100.00,140.00]	5:B000,00.50,[100.00,50.00,100.00]	10:C180,01.80,[100.00,100.00,160.00]	15:A100,00.50,[100.00,100.00,50.00]	20:C000,00.50,[100.00,100.00,50.00]	25:C180,01.40,[100.00,100.00,140.00]	30:C000,00.50,[100.00,100.00,50.00]	35:A100,00.50,[100.00,100.00,50.00]	40:A100,00.50,[100.00,100.00,50.00]	45:C180,01.40,[100.00,100.00,140.00]	
0:C180,02.30,[100.00,100.00,160.00]	5:A100,01.00,[100.00,50.00,100.00]	10:C180,02.70,[100.00,100.00,170.00]	15:B220,01.60,[100.00,160.00,50.00]	20:A100,01.00,[100.00,100.00,50.00]	25:C000,01.40,[100.00,100.00,70.00]	30:B220,01.60,[100.00,160.00,50.00]	35:B000,00.50,[100.00,50.00,50.00]	40:B220,01.60,[100.00,160.00,50.00]	45:C180,02.30,[100.00,100.00,160.00]	
0:C180,03.20,[100.00,100.00,170.00]	5:B220,02.10,[100.00,135.00,100.00]	10:C180,03.60,[100.00,100.00,175.00]	15:A100,02.10,[100.00,160.00,50.00]	20:B220,02.10,[100.00,160.00,50.00]	25:B000,01.40,[100.00,50.00,70.00]	30:B000,01.60,[100.00,80.00,50.00]	35:A100,01.00,[100.00,50.00,50.00]	40:B220,02.70,[100.00,190.00,50.00]	45:C180,03.20,[100.00,100.00,170.00]	
0:C180,04.10,[100.00,100.00,175.00]	5:B220,03.20,[100.00,177.50,100.00]	10:C180,04.50,[100.00,100.00,177.50]	15:B220,03.20,[100.00,190.00,50.00]	20:A100,02.60,[100.00,160.00,50.00]	25:A100,01.90,[100.00,50.00,70.00]	30:A100,02.10,[100.00,80.00,50.00]	35:A100,01.50,[100.00,50.00,50.00]	40:B000,02.70,[100.00,95.00,50.00]	45:C000,03.20,[100.00,100.00,85.00]	
0:C180,05.00,[100.00,100.00,177.50]	5:B220,04.30,[100.00,198.75,100.00]	10:C180,05.40,[100.00,100.00,178.75]	15:B220,04.30,[100.00,205.00,50.00]	20:B000,02.60,[100.00,80.00,50.00]	25:A100,02.40,[100.00,50.00,70.00]	30:A100,02.60,[100.00,80.00,50.00]	35:A100,02.00,[100.00,50.00,50.00]	40:A100,03.20,[100.00,95.00,50.00]	45:B000,03.20,[100.00,50.00,85.00]	
0:C180,05.90,[100.00,100.00,178.75]	5:B220,05.40,[100.00,209.38,100.00]	10:C000,05.40,[100.00,100.00,89.38]	15:B220,05.40,[100.00,212.50,50.00]	20:A100,03.10,[100.00,80.00,50.00]	25:A100,02.90,[100.00,50.00,70.00]	30:B220,03.70,[100.00,150.00,50.00]	35:A100,02.50,[100.00,50.00,50.00]	40:A100,03.70,[100.00,95.00,50.00]	45:C180,04.10,[100.00,50.00,132.50]	
0:C000,05.90,[100.00,100.00,89.38]	5:B000,05.40,[100.00,104.69,100.00]	10:B220,06.50,[100.00,160.00,89.38]	15:B220,06.50,[100.00,216.25,50.00]	20:A100,03.60,[100.00,80.00,50.00]	25:C180,03.80,[100.00,50.00,125.00]	30:B000,03.70,[100.00,75.00,50.00]	35:A100,03.00,[100.00,50.00,50.00]	40:B220,04.80,[100.00,157.50,50.00]	45:A100,04.60,[100.00,50.00,132.50]	
0:B220,07.00,[100.00,160.00,89.38]	5:B220,06.50,[100.00,162.34,100.00]	10:B000,06.50,[100.00,80.00,89.38]	15:B000,06.50,[100.00,108.13,50.00]	20:B000,03.60,[100.00,40.00,50.00]	25:C180,04.70,[100.00,50.00,152.50]	30:A100,04.20,[100.00,75.00,50.00]	35:A100,03.50,[100.00,50.00,50.00]	40:B000,04.80,[100.00,78.75,50.00]	45:C000,04.60,[100.00,50.00,66.25]	
0:B220,08.10,[100.00,190.00,89.38]	5:B220,07.60,[100.00,191.17,100.00]	10:A100,07.00,[100.00,80.00,89.38]	15:B000,06.50,[100.00,54.06,50.00]	20:A100,04.10,[100.00,40.00,50.00]	25:C180,05.60,[100.00,50.00,166.25]	30:A100,04.70,[100.00,75.00,50.00]	35:A100,04.00,[100.00,50.00,50.00]	40:A100,05.30,[100.00,78.75,50.00]	45:A100,05.10,[100.00,50.00,66.25]	
0:B000,08.10,[100.00,95.00,89.38]	5:B220,08.70,[100.00,205.59,100.00]	10:A100,07.50,[100.00,80.00,89.38]	15:A100,07.00,[100.00,54.06,50.00]	20:B220,05.20,[100.00,130.00,50.00]	25:C000,05.60,[100.00,50.00,83.13]	30:A100,05.20,[100.00,75.00,50.00]	35:A100,04.50,[100.00,50.00,50.00]	40:A100,05.80,[100.00,78.75,50.00]	45:A100,05.60,[100.00,50.00,66.25]	
