each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0:A100,00.50,[100.00,100.00,100.00]	5:B000,00.00,[100.00,66.40,100.00]	10:C000,00.00,[100.00,100.00,70.18]	15:C000,00.00,[100.00,100.00,43.75]	20:A100,00.50,[100.00,100.00,100.00]	25:A100,00.50,[100.00,100.00,100.00]	30:B000,00.00,[100.00,02.82,100.00]	35:C180,00.90,[100.00,100.00,129.22]	40:C000,00.00,[100.00,100.00,15.46]	45:C180,00.90,[100.00,100.00,177.47]	
0:B220,01.60,[100.00,181.67,100.00]	5:C180,00.90,[100.00,66.40,126.88]	10:B000,00.00,[100.00,70.18,70.18]	15:B220,01.10,[100.00,167.50,43.75]	20:C180,01.40,[100.00,100.00,134.34]	25:A100,01.00,[100.00,100.00,100.00]	30:A100,00.50,[100.00,02.82,100.00]	35:B000,00.90,[100.00,63.48,129.22]	40:B220,01.10,[100.00,201.45,15.46]	45:C180,01.80,[100.00,100.00,179.92]	
0:B000,01.60,[100.00,58.02,100.00]	5:C000,00.90,[100.00,66.40,84.25]	10:A100,00.50,[100.00,70.18,70.18]	15:B000,01.10,[100.00,73.28,43.75]	20:C000,01.40,[100.00,100.00,76.67]	25:A100,01.50,[100.00,100.00,100.00]	30:A100,01.00,[100.00,02.82,100.00]	35:C180,01.80,[100.00,63.48,147.76]	40:B220,02.20,[100.00,217.13,15.46]	45:C180,02.70,[100.00,100.00,180.00]	
0:C180,02.50,[100.00,58.02,154.45]	5:C180,01.80,[100.00,66.40,116.42]	10:A100,01.00,[100.00,70.18,70.18]	15:A100,01.60,[100.00,73.28,43.75]	20:A100,01.90,[100.00,100.00,76.67]	25:C180,02.40,[100.00,100.00,173.17]	30:C000,01.00,[100.00,02.82,02.82]	35:C000,01.80,[100.00,63.48,93.80]	40:B220,03.30,[100.00,219.56,15.46]	45:C180,03.60,[100.00,100.00,180.00]	
0:C180,03.40,[100.00,58.02,171.84]	5:C180,02.70,[100.00,66.40,137.79]	10:B000,01.00,[100.00,49.25,70.18]	15:A100,02.10,[100.00,73.28,43.75]	20:A100,02.40,[100.00,100.00,76.67]	25:C180,03.30,[100.00,100.00,179.42]	30:A100,01.50,[100.00,02.82,02.82]	35:A100,02.30,[100.00,63.48,93.80]	40:B000,03.30,[100.00,33.93,15.46]	45:C000,03.60,[100.00,100.00,05.70]	
0:C180,04.30,[100.00,58.02,177.39]	5:C180,03.60,[100.00,66.40,151.97]	10:B220,02.10,[100.00,100.17,70.18]	15:B220,03.20,[100.00,155.81,43.75]	20:A100,02.90,[100.00,100.00,76.67]	25:C000,03.30,[100.00,100.00,15.33]	30:A100,02.00,[100.00,02.82,02.82]	35:C180,03.20,[100.00,63.48,125.28]	40:A100,03.80,[100.00,33.93,15.46]	45:B000,03.60,[100.00,03.16,05.70]	
0:C180,05.20,[100.00,58.02,179.17]	5:C180,04.50,[100.00,66.40,161.39]	10:B000,02.10,[100.00,70.30,70.18]	15:B000,03.20,[100.00,68.17,43.75]	20:A100,03.40,[100.00,100.00,76.67]	25:A100,03.80,[100.00,100.00,15.33]	30:A100,02.50,[100.00,02.82,02.82]	35:C180,04.10,[100.00,63.48,145.26]	40:A100,04.30,[100.00,33.93,15.46]	45:A100,04.10,[100.00,03.16,05.70]	
0:C180,06.10,[100.00,58.02,179.73]	5:C180,05.40,[100.00,66.40,167.64]	10:A100,02.60,[100.00,70.30,70.18]	15:A100,03.70,[100.00,68.17,43.75]	20:C000,03.40,[100.00,100.00,43.76]	25:B220,04.90,[100.00,209.75,15.33]	30:C000,02.50,[100.00,02.82,00.08]	35:C180,05.00,[100.00,63.48,157.95]	40:A100,04.80,[100.00,33.93,15.46]	45:A100,04.60,[100.00,03.16,05.70]	
0:C000,06.10,[100.00,58.02,57.40]	5:C000,05.40,[100.00,66.40,111.31]	10:C180,03.50,[100.00,70.30,102.93]	15:A100,04.20,[100.00,68.17,43.75]	20:A100,03.90,[100.00,100.00,43.76]	25:B000,04.90,[100.00,17.92,15.33]	30:A100,03.00,[100.00,02.82,00.08]	35:C180,05.90,[100.00,63.48,166.00]	40:A100,05.30,[100.00,33.93,15.46]	45:A100,05.10,[100.00,03.16,05.70]	
0:A100,06.60,[100.00,58.02,57.40]	5:C000,05.40,[100.00,66.40,73.91]	10:C000,03.50,[100.00,70.30,72.24]	15:A100,04.70,[100.00,68.17,43.75]	20:A100,04.40,[100.00,100.00,43.76]	25:A100,05.40,[100.00,17.92,15.33]	30:A100,03.50,[100.00,02.82,00.08]	35:C180,06.80,[100.00,63.48,171.11]	40:A100,05.80,[100.00,33.93,15.46]	45:A100,05.60,[100.00,03.16,05.70]	
0:A100,07.10,[100.00,58.02,57.40]	5:A100,05.90,[100.00,66.40,73.91]	10:A100,04.00,[100.00,70.30,72.24]	15:A100,05.20,[100.00,68.17,43.75]	20:B220,05.50,[100.00,151.52,43.76]	25:A100,05.90,[100.00,17.92,15.33]	30:A100,04.00,[100.00,02.82,00.08]	35:C180,07.70,[100.00,63.48,174.36]	40:C180,06.70,[100.00,33.93,154.57]	45:A100,06.10,[100.00,03.16,05.70]	
