each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:B000,00.00,[100.00,15.00,100.00]	5:C180,00.90,[100.00,100.00,169.37]	10:C180,00.90,[100.00,100.00,151.00]	15:A100,00.50,[100.00,100.00,100.00]	20:B000,00.00,[100.00,22.07,100.00]	25:A100,00.50,[100.00,100.00,100.00]	30:A100,00.50,[100.00,100.00,100.00]	35:A100,00.50,[100.00,100.00,100.00]	40:B000,00.00,[100.00,27.22,100.00]	45:C000,00.00,[100.00,100.00,20.90]	
0:A100,00.50,[100.00,15.00,100.00]	5:C180,01.80,[100.00,100.00,178.59]	10:C000,00.90,[100.00,100.00,54.74]	15:C000,00.50,[100.00,100.00,22.84]	20:A100,00.50,[100.00,22.07,100.00]	25:B000,00.50,[100.00,33.31,100.00]	30:B000,00.50,[100.00,14.05,100.00]	35:A100,01.00,[100.00,100.00,100.00]	40:A100,00.50,[100.00,27.22,100.00]	45:A100,00.50,[100.00,100.00,20.90]	
0:A100,01.00,[100.00,15.00,100.00]	5:C000,01.80,[100.00,100.00,23.74]	10:B000,00.90,[100.00,36.25,54.74]	15:A100,01.00,[100.00,100.00,22.84]	20:C000,00.50,[100.00,22.07,22.07]	25:A100,01.00,[100.00,33.31,100.00]	30:C180,01.40,[100.00,14.05,168.76]	35:A100,01.50,[100.00,100.00,100.00]	40:A100,01.00,[100.00,27.22,100.00]	45:A100,01.00,[100.00,100.00,20.90]	
0:A100,01.50,[100.00,15.00,100.00]	5:A100,02.30,[100.00,100.00,23.74]	10:A100,01.40,[100.00,36.25,54.74]	15:B000,01.00,[100.00,22.84,22.84]	20:A100,01.00,[100.00,22.07,22.07]	25:C180,01.90,[100.00,33.31,153.35]	30:C000,01.40,[100.00,14.05,23.71]	35:A100,02.00,[100.00,100.00,100.00]	40:C000,01.00,[100.00,27.22,27.22]	45:B220,02.10,[100.00,194.92,20.90]	
0:C180,02.40,[100.00,15.00,168.00]	5:B220,03.40,[100.00,204.05,23.74]	10:A100,01.90,[100.00,36.25,54.74]	15:A100,01.50,[100.00,22.84,22.84]	20:A100,01.50,[100.00,22.07,22.07]	25:C000,01.90,[100.00,33.31,51.08]	30:A100,01.90,[100.00,14.05,23.71]	35:A100,02.50,[100.00,100.00,100.00]	40:A100,01.50,[100.00,27.22,27.22]	45:B220,03.20,[100.00,214.76,20.90]	
0:C180,03.30,[100.00,15.00,178.20]	5:B000,03.40,[100.00,27.12,23.74]	10:A100,02.40,[100.00,36.25,54.74]	15:A100,02.00,[100.00,22.84,22.84]	20:A100,02.00,[100.00,22.07,22.07]	25:A100,02.40,[100.00,33.31,51.08]	30:A100,02.40,[100.00,14.05,23.71]	35:C180,03.40,[100.00,100.00,152.63]	40:A100,02.00,[100.00,27.22,27.22]	45:B220,04.30,[100.00,218.90,20.90]	
0:C180,04.20,[100.00,15.00,179.73]	5:A100,03.90,[100.00,27.12,23.74]	10:A100,02.90,[100.00,36.25,54.74]	15:A100,02.50,[100.00,22.84,22.84]	20:A100,02.50,[100.00,22.07,22.07]	25:A100,02.90,[100.00,33.31,51.08]	30:A100,02.90,[100.00,14.05,23.71]	35:A100,03.90,[100.00,100.00,152.63]	40:A100,02.50,[100.00,27.22,27.22]	45:B000,04.30,[100.00,45.76,20.90]	
0:C180,05.10,[100.00,15.00,179.96]	5:A100,04.40,[100.00,27.12,23.74]	10:A100,03.40,[100.00,36.25,54.74]	15:A100,03.00,[100.00,22.84,22.84]	20:A100,03.00,[100.00,22.07,22.07]	25:C000,02.90,[100.00,33.31,17.02]	30:A100,03.40,[100.00,14.05,23.71]	35:C180,04.80,[100.00,100.00,170.64]	40:B000,02.50,[100.00,07.41,27.22]	45:A100,04.80,[100.00,45.76,20.90]	
0:C000,05.10,[100.00,15.00,26.99]	5:A100,04.90,[100.00,27.12,23.74]	10:A100,03.90,[100.00,36.25,54.74]	15:A100,03.50,[100.00,22.84,22.84]	20:A100,03.50,[100.00,22.07,22.07]	25:A100,03.40,[100.00,33.31,17.02]	30:A100,03.90,[100.00,14.05,23.71]	35:C000,04.80,[100.00,100.00,58.37]	40:A100,03.00,[100.00,07.41,27.22]	45:A100,05.30,[100.00,45.76,20.90]	
0:A100,05.60,[100.00,15.00,26.99]	5:A100,05.40,[100.00,27.12,23.74]	10:A100,04.40,[100.00,36.25,54.74]	15:A100,04.00,[100.00,22.84,22.84]	20:A100,04.00,[100.00,22.07,22.07]	25:A100,03.90,[100.00,33.31,17.02]	30:A100,04.40,[100.00,14.05,23.71]	35:A100,05.30,[100.00,100.00,58.37]	40:A100,03.50,[100.00,07.41,27.22]	45:A100,05.80,[100.00,45.76,20.90]	
0:A100,06.10,[100.00,15.00,26.99]	5:A100,05.90,[100.00,27.12,23.74]	10:A100,04.90,[100.00,36.25,54.74]	15:A100,04.50,[100.00,22.84,22.84]	20:C000,04.00,[100.00,22.07,04.87]	25:A100,04.40,[100.00,33.31,17.02]	30:A100,04.90,[100.00,14.05,23.71]	35:B220,06.40,[100.00,178.95,58.37]	40:A100,04.00,[100.00,07.41,27.22]	45:A100,06.30,[100.00,45.76,20.90]	
0:A100,06.60,[100.00,15.00,26.99]	5:A100,06.40,[100.00,27.12,23.74]	10:A100,05.40,[100.00,36.25,54.74]	15:A100,05.00,[100.00,22.84,22.84]	20:B000,04.00,[100.00,04.87,04.87]	25:A100,04.90,[100.00,33.31,17.02]	30:C000,04.90,[100.00,14.05,03.33]	35:B000,06.40,[100.00,61.22,58.37]	40:A100,04.50,[100.00,07.41,27.22]	45:A100,06.80,[100.00,45.76,20.90]	
0:A100,07.10,[100.00,15.00,26.99]	5:A100,06.90,[100.00,27.12,23.74]	10:A100,05.90,[100.00,36.25,54.74]	15:A100,05.50,[100.00,22.84,22.84]	20:A100,04.50,[100.00,04.87,04.87]	25:A100,05.40,[100.00,33.31,17.02]	30:A100,05.40,[100.00,14.05,03.33]	35:A100,06.90,[100.00,61.22,58.37]	40:A100,05.00,[100.00,07.41,27.22]	45:A100,07.30,[100.00,45.76,20.90]	
0:A100,07.60,[100.00,15.00,26.99]	5:A100,07.40,[100.00,27.12,23.74]	10:A100,06.40,[100.00,36.25,54.74]	15:A100,06.00,[100.00,22.84,22.84]	20:A100,05.00,[100.00,04.87,04.87]	25:A100,05.90,[100.00,33.31,17.02]	30:A100,05.90,[100.00,14.05,03.33]	35:C000,06.90,[100.00,61.22,19.97]	40:A100,05.50,[100.00,07.41,27.22]	45:A100,07.80,[100.00,45.76,20.90]	
0:A100,08.10,[100.00,15.00,26.99]	5:A100,07.90,[100.00,27.12,23.74]	10:A100,06.90,[100.00,36.25,54.74]	15:A100,06.50,[100.00,22.84,22.84]	20:A100,05.50,[100.00,04.87,04.87]	25:A100,06.40,[100.00,33.31,17.02]	30:A100,06.40,[100.00,14.05,03.33]	35:A100,07.40,[100.00,61.22,19.97]	40:A100,06.00,[100.00,07.41,27.22]	45:A100,08.30,[100.00,45.76,20.90]	
0:A100,08.60,[100.00,15.00,26.99]	5:A100,08.40,[100.00,27.12,23.74]	10:A100,07.40,[100.00,36.25,54.74]	15:B000,06.50,[100.00,05.22,22.84]	20:A100,06.00,[100.00,04.87,04.87]	25:B000,06.40,[100.00,11.10,17.02]	30:A100,06.90,[100.00,14.05,03.33]	35:A100,07.90,[100.00,61.22,19.97]	40:A100,06.50,[100.00,07.41,27.22]	45:A100,08.80,[100.00,45.76,20.90]	
0:A100,09.10,[100.00,15.00,26.99]	5:A100,08.90,[100.00,27.12,23.74]	10:A100,07.90,[100.00,36.25,54.74]	15:B220,07.60,[100.00,170.94,22.84]	20:A100,06.50,[100.00,04.87,04.87]	25:A100,06.90,[100.00,11.10,17.02]	30:A100,07.40,[100.00,14.05,03.33]	35:B220,09.00,[100.00,165.68,19.97]	40:A100,07.00,[100.00,07.41,27.22]	45:A100,09.30,[100.00,45.76,20.90]	
0:A100,09.60,[100.00,15.00,26.99]	5:A100,09.40,[100.00,27.12,23.74]	10:A100,08.40,[100.00,36.25,54.74]	15:B220,08.70,[100.00,208.79,22.84]	20:A100,07.00,[100.00,04.87,04.87]	25:A100,07.40,[100.00,11.10,17.02]	30:A100,07.90,[100.00,14.05,03.33]	35:B000,09.00,[100.00,56.68,19.97]	40:A100,07.50,[100.00,07.41,27.22]	45:B000,09.30,[100.00,09.57,20.90]	
