each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 150

0:B220,01.10,[100.00,219.38,100.00]	5:B000,00.00,[100.00,07.95,100.00]	10:A100,00.50,[100.00,100.00,100.00]	15:A100,00.50,[100.00,100.00,100.00]	20:A100,00.50,[100.00,100.00,100.00]	25:C000,00.00,[100.00,100.00,15.63]	30:C000,00.00,[100.00,100.00,10.86]	35:A100,00.50,[100.00,100.00,100.00]	40:A100,00.50,[100.00,100.00,100.00]	45:C180,00.90,[100.00,100.00,176.67]	
0:B000,01.10,[100.00,01.14,100.00]	5:A100,00.50,[100.00,07.95,100.00]	10:B000,00.50,[100.00,10.47,100.00]	15:B220,01.60,[100.00,219.63,100.00]	20:B220,01.60,[100.00,202.63,100.00]	25:A100,00.50,[100.00,100.00,15.63]	30:B220,01.10,[100.00,206.97,10.86]	35:B220,01.60,[100.00,209.93,100.00]	40:A100,01.00,[100.00,100.00,100.00]	45:C000,00.90,[100.00,100.00,07.36]	
0:C180,02.00,[100.00,01.14,179.59]	5:A100,01.00,[100.00,07.95,100.00]	10:A100,01.00,[100.00,10.47,100.00]	15:B000,01.60,[100.00,00.68,100.00]	20:B220,02.70,[100.00,217.48,100.00]	25:A100,01.00,[100.00,100.00,15.63]	30:B000,01.10,[100.00,22.48,10.86]	35:B220,02.70,[100.00,219.16,100.00]	40:C180,01.90,[100.00,100.00,177.70]	45:A100,01.40,[100.00,100.00,07.36]	
0:C180,02.90,[100.00,01.14,180.00]	5:C180,01.90,[100.00,07.95,173.64]	10:A100,01.50,[100.00,10.47,100.00]	15:C000,01.60,[100.00,00.68,00.31]	20:B220,03.80,[100.00,219.64,100.00]	25:B000,01.00,[100.00,15.63,15.63]	30:A100,01.60,[100.00,22.48,10.86]	35:B220,03.80,[100.00,219.93,100.00]	40:C000,01.90,[100.00,100.00,05.10]	45:B000,01.40,[100.00,04.17,07.36]	
0:A100,03.40,[100.00,01.14,180.00]	5:C180,02.80,[100.00,07.95,179.49]	10:C180,02.40,[100.00,10.47,171.62]	15:A100,02.10,[100.00,00.68,00.31]	20:B220,04.90,[100.00,219.95,100.00]	25:A100,01.50,[100.00,15.63,15.63]	30:A100,02.10,[100.00,22.48,10.86]	35:B220,04.90,[100.00,219.99,100.00]	40:C180,02.80,[100.00,100.00,174.98]	45:A100,01.90,[100.00,04.17,07.36]	
0:C180,04.30,[100.00,01.14,180.00]	5:C000,02.80,[100.00,07.95,14.28]	10:C000,02.40,[100.00,10.47,17.97]	15:A100,02.60,[100.00,00.68,00.31]	20:B000,04.90,[100.00,31.85,100.00]	25:A100,02.00,[100.00,15.63,15.63]	30:A100,02.60,[100.00,22.48,10.86]	35:B000,04.90,[100.00,18.46,100.00]	40:C000,02.80,[100.00,100.00,05.03]	45:A100,02.40,[100.00,04.17,07.36]	
0:C000,04.30,[100.00,01.14,00.93]	5:A100,03.30,[100.00,07.95,14.28]	10:A100,02.90,[100.00,10.47,17.97]	15:A100,03.10,[100.00,00.68,00.31]	20:C180,05.80,[100.00,31.85,168.42]	25:A100,02.50,[100.00,15.63,15.63]	30:A100,03.10,[100.00,22.48,10.86]	35:C000,04.90,[100.00,18.46,08.39]	40:A100,03.30,[100.00,100.00,05.03]	45:A100,02.90,[100.00,04.17,07.36]	
0:A100,04.80,[100.00,01.14,00.93]	5:A100,03.80,[100.00,07.95,14.28]	10:A100,03.40,[100.00,10.47,17.97]	15:A100,03.60,[100.00,00.68,00.31]	20:C180,06.70,[100.00,31.85,178.32]	25:A100,03.00,[100.00,15.63,15.63]	30:A100,03.60,[100.00,22.48,10.86]	35:A100,05.40,[100.00,18.46,08.39]	40:A100,03.80,[100.00,100.00,05.03]	45:A100,03.40,[100.00,04.17,07.36]	
0:A100,05.30,[100.00,01.14,00.93]	5:A100,04.30,[100.00,07.95,14.28]	10:A100,03.90,[100.00,10.47,17.97]	15:A100,04.10,[100.00,00.68,00.31]	20:C000,06.70,[100.00,31.85,25.82]	25:A100,03.50,[100.00,15.63,15.63]	30:A100,04.10,[100.00,22.48,10.86]	35:A100,05.90,[100.00,18.46,08.39]	40:A100,04.30,[100.00,100.00,05.03]	45:A100,03.90,[100.00,04.17,07.36]	
0:A100,05.80,[100.00,01.14,00.93]	5:A100,04.80,[100.00,07.95,14.28]	10:A100,04.40,[100.00,10.47,17.97]	15:A100,04.60,[100.00,00.68,00.31]	20:B220,07.80,[100.00,192.76,25.82]	25:A100,04.00,[100.00,15.63,15.63]	30:A100,04.60,[100.00,22.48,10.86]	35:A100,06.40,[100.00,18.46,08.39]	40:A100,04.80,[100.00,100.00,05.03]	45:A100,04.40,[100.00,04.17,07.36]	
0:A100,06.30,[100.00,01.14,00.93]	5:A100,05.30,[100.00,07.95,14.28]	10:A100,04.90,[100.00,10.47,17.97]	15:A100,05.10,[100.00,00.68,00.31]	20:B220,08.90,[100.00,216.06,25.82]	25:A100,04.50,[100.00,15.63,15.63]	30:A100,05.10,[100.00,22.48,10.86]	35:A100,06.90,[100.00,18.46,08.39]	40:A100,05.30,[100.00,100.00,05.03]	45:A100,04.90,[100.00,04.17,07.36]	
