each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:B000,00.00,[100.00,28.98,100.00]	5:A100,00.50,[100.00,100.00,100.00]	10:C000,00.00,[100.00,100.00,24.01]	15:C180,00.90,[100.00,100.00,170.59]	20:C000,00.00,[100.00,100.00,07.18]	25:B220,01.10,[100.00,196.27,100.00]	30:B000,00.00,[100.00,14.34,100.00]	35:B220,01.10,[100.00,205.02,100.00]	40:C180,00.90,[100.00,100.00,176.76]	45:A100,00.50,[100.00,100.00,100.00]	
0:A100,00.50,[100.00,28.98,100.00]	5:B220,01.60,[100.00,209.00,100.00]	10:A100,00.50,[100.00,100.00,24.01]	15:C180,01.80,[100.00,100.00,178.89]	20:B220,01.10,[100.00,211.38,07.18]	25:B000,01.10,[100.00,38.82,100.00]	30:B220,01.10,[100.00,190.50,100.00]	35:B000,01.10,[100.00,25.60,100.00]	40:C000,00.90,[100.00,100.00,07.15]	45:A100,01.00,[100.00,100.00,100.00]	
0:A100,01.00,[100.00,28.98,100.00]	5:B220,02.70,[100.00,218.99,100.00]	10:A100,01.00,[100.00,100.00,24.01]	15:B000,01.80,[100.00,11.76,178.89]	20:B000,01.10,[100.00,15.18,07.18]	25:C000,01.10,[100.00,38.82,19.78]	30:B000,01.10,[100.00,27.32,100.00]	35:A100,01.60,[100.00,25.60,100.00]	40:B000,00.90,[100.00,04.05,07.15]	45:C180,01.90,[100.00,100.00,170.51]	
0:C000,01.00,[100.00,28.98,28.98]	5:B000,02.70,[100.00,20.07,100.00]	10:B000,01.00,[100.00,24.01,24.01]	15:C180,02.70,[100.00,11.76,179.87]	20:A100,01.60,[100.00,15.18,07.18]	25:A100,01.60,[100.00,38.82,19.78]	30:C180,02.00,[100.00,27.32,168.53]	35:A100,02.10,[100.00,25.60,100.00]	40:A100,01.40,[100.00,04.05,07.15]	45:C000,01.90,[100.00,100.00,20.23]	
0:A100,01.50,[100.00,28.98,28.98]	5:B000,02.70,[100.00,01.84,100.00]	10:A100,01.50,[100.00,24.01,24.01]	15:C180,03.60,[100.00,11.76,179.98]	20:A100,02.10,[100.00,15.18,07.18]	25:A100,02.10,[100.00,38.82,19.78]	30:C000,02.00,[100.00,27.32,24.17]	35:C180,03.00,[100.00,25.60,170.01]	40:A100,01.90,[100.00,04.05,07.15]	45:A100,02.40,[100.00,100.00,20.23]	
0:A100,02.00,[100.00,28.98,28.98]	5:C000,02.70,[100.00,01.84,09.17]	10:A100,02.00,[100.00,24.01,24.01]	15:C000,03.60,[100.00,11.76,21.16]	20:A100,02.60,[100.00,15.18,07.18]	25:A100,02.60,[100.00,38.82,19.78]	30:A100,02.50,[100.00,27.32,24.17]	35:C180,03.90,[100.00,25.60,178.75]	40:A100,02.40,[100.00,04.05,07.15]	45:B220,03.50,[100.00,205.76,20.23]	
0:A100,02.50,[100.00,28.98,28.98]	5:A100,03.20,[100.00,01.84,09.17]	10:A100,02.50,[100.00,24.01,24.01]	15:A100,04.10,[100.00,11.76,21.16]	20:A100,03.10,[100.00,15.18,07.18]	25:A100,03.10,[100.00,38.82,19.78]	30:A100,03.00,[100.00,27.32,24.17]	35:C000,03.90,[100.00,25.60,22.32]	40:A100,02.90,[100.00,04.05,07.15]	45:B000,03.50,[100.00,24.42,20.23]	
0:A100,03.00,[100.00,28.98,28.98]	5:A100,03.70,[100.00,01.84,09.17]	10:A100,03.00,[100.00,24.01,24.01]	15:A100,04.60,[100.00,11.76,21.16]	20:A100,03.60,[100.00,15.18,07.18]	25:A100,03.60,[100.00,38.82,19.78]	30:A100,03.50,[100.00,27.32,24.17]	35:A100,04.40,[100.00,25.60,22.32]	40:A100,03.40,[100.00,04.05,07.15]	45:A100,04.00,[100.00,24.42,20.23]	
0:A100,03.50,[100.00,28.98,28.98]	5:A100,04.20,[100.00,01.84,09.17]	10:A100,03.50,[100.00,24.01,24.01]	15:A100,05.10,[100.00,11.76,21.16]	20:A100,04.10,[100.00,15.18,07.18]	25:A100,04.10,[100.00,38.82,19.78]	30:A100,04.00,[100.00,27.32,24.17]	35:A100,04.90,[100.00,25.60,22.32]	40:A100,03.90,[100.00,04.05,07.15]	45:A100,04.50,[100.00,24.42,20.23]	
0:A100,04.00,[100.00,28.98,28.98]	5:A100,04.70,[100.00,01.84,09.17]	10:A100,04.00,[100.00,24.01,24.01]	15:A100,05.60,[100.00,11.76,21.16]	20:A100,04.60,[100.00,15.18,07.18]	25:A100,04.60,[100.00,38.82,19.78]	30:A100,04.50,[100.00,27.32,24.17]	35:A100,05.40,[100.00,25.60,22.32]	40:A100,04.40,[100.00,04.05,07.15]	45:A100,05.00,[100.00,24.42,20.23]	
0:A100,04.50,[100.00,28.98,28.98]	5:A100,05.20,[100.00,01.84,09.17]	10:A100,04.50,[100.00,24.01,24.01]	15:A100,06.10,[100.00,11.76,21.16]	20:A100,05.10,[100.00,15.18,07.18]	25:C000,04.60,[100.00,38.82,03.91]	30:A100,05.00,[100.00,27.32,24.17]	35:A100,05.90,[100.00,25.60,22.32]	40:A100,04.90,[100.00,04.05,07.15]	45:A100,05.50,[100.00,24.42,20.23]	
0:A100,05.00,[100.00,28.98,28.98]	5:A100,05.70,[100.00,01.84,09.17]	10:A100,05.00,[100.00,24.01,24.01]	15:A100,06.60,[100.00,11.76,21.16]	20:A100,05.60,[100.00,15.18,07.18]	25:A100,05.10,[100.00,38.82,03.91]	30:A100,05.50,[100.00,27.32,24.17]	35:A100,06.40,[100.00,25.60,22.32]	40:A100,05.40,[100.00,04.05,07.15]	45:A100,06.00,[100.00,24.42,20.23]	
0:A100,05.50,[100.00,28.98,28.98]	5:B220,06.80,[100.00,200.00,09.17]	10:A100,05.50,[100.00,24.01,24.01]	15:A100,07.10,[100.00,11.76,21.16]	20:A100,06.10,[100.00,15.18,07.18]	25:A100,05.60,[100.00,38.82,03.91]	30:A100,06.00,[100.00,27.32,24.17]	35:A100,06.90,[100.00,25.60,22.32]	40:A100,05.90,[100.00,04.05,07.15]	45:A100,06.50,[100.00,24.42,20.23]	
