each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 250

0:C180,00.90,[100.00,100.00,167.48]	5:B000,00.00,[100.00,29.51,100.00]	10:A100,00.50,[100.00,100.00,100.00]	15:A100,00.50,[100.00,100.00,100.00]	20:B220,01.10,[100.00,172.17,100.00]	25:A100,00.50,[100.00,100.00,100.00]	30:C000,00.00,[100.00,100.00,39.91]	35:A100,00.50,[100.00,100.00,100.00]	40:A100,00.50,[100.00,100.00,100.00]	45:B000,00.00,[100.00,30.33,100.00]	
0:C000,00.90,[100.00,100.00,26.20]	5:C180,00.90,[100.00,29.51,156.39]	10:B000,00.50,[100.00,04.20,100.00]	15:C000,00.50,[100.00,100.00,29.40]	20:B220,02.20,[100.00,200.93,100.00]	25:A100,01.00,[100.00,100.00,100.00]	30:B000,00.00,[100.00,39.91,39.91]	35:C180,01.40,[100.00,100.00,154.04]	40:A100,01.00,[100.00,100.00,100.00]	45:A100,00.50,[100.00,30.33,100.00]	
0:A100,01.40,[100.00,100.00,26.20]	5:A100,01.40,[100.00,29.51,156.39]	10:C180,01.40,[100.00,04.20,176.64]	15:B000,00.50,[100.00,29.40,29.40]	20:B000,02.20,[100.00,80.09,100.00]	25:B220,02.10,[100.00,196.16,100.00]	30:B220,01.10,[100.00,148.12,39.91]	35:A100,01.90,[100.00,100.00,154.04]	40:A100,01.50,[100.00,100.00,100.00]	45:C000,00.50,[100.00,30.33,30.33]	
0:B000,01.40,[100.00,15.64,26.20]	5:C180,02.30,[100.00,29.51,173.03]	10:C000,01.40,[100.00,04.20,07.42]	15:A100,01.00,[100.00,29.40,29.40]	20:C000,02.20,[100.00,80.09,39.86]	25:B220,03.20,[100.00,215.26,100.00]	30:B220,02.20,[100.00,191.31,39.91]	35:C000,01.90,[100.00,100.00,49.99]	40:A100,02.00,[100.00,100.00,100.00]	45:A100,01.00,[100.00,30.33,30.33]	
0:A100,01.90,[100.00,15.64,26.20]	5:C180,03.20,[100.00,29.51,177.94]	10:A100,01.90,[100.00,04.20,07.42]	15:A100,01.50,[100.00,29.40,29.40]	20:C180,03.10,[100.00,80.09,124.14]	25:B000,03.20,[100.00,42.76,100.00]	30:B000,02.20,[100.00,76.36,39.91]	35:B220,03.00,[100.00,181.06,49.99]	40:C180,02.90,[100.00,100.00,165.09]	45:A100,01.50,[100.00,30.33,30.33]	
0:A100,02.40,[100.00,15.64,26.20]	5:C000,03.20,[100.00,29.51,52.51]	10:A100,02.40,[100.00,04.20,07.42]	15:A100,02.00,[100.00,29.40,29.40]	20:B220,04.20,[100.00,164.23,124.14]	25:C000,03.20,[100.00,42.76,19.87]	30:A100,02.70,[100.00,76.36,39.91]	35:B220,04.10,[100.00,207.36,49.99]	40:C000,02.90,[100.00,100.00,30.78]	45:A100,02.00,[100.00,30.33,30.33]	
0:A100,02.90,[100.00,15.64,26.20]	5:A100,03.70,[100.00,29.51,52.51]	10:A100,02.90,[100.00,04.20,07.42]	15:A100,02.50,[100.00,29.40,29.40]	20:B220,05.30,[100.00,197.77,124.14]	25:A100,03.70,[100.00,42.76,19.87]	30:A100,03.20,[100.00,76.36,39.91]	35:B000,04.10,[100.00,67.30,49.99]	40:B220,04.00,[100.00,197.63,30.78]	45:A100,02.50,[100.00,30.33,30.33]	
0:A100,03.40,[100.00,15.64,26.20]	5:B000,03.70,[100.00,08.71,52.51]	10:A100,03.40,[100.00,04.20,07.42]	15:A100,03.00,[100.00,29.40,29.40]	20:B220,06.40,[100.00,211.14,124.14]	25:A100,04.20,[100.00,42.76,19.87]	30:A100,03.70,[100.00,76.36,39.91]	35:A100,04.60,[100.00,67.30,49.99]	40:B220,05.10,[100.00,215.83,30.78]	45:A100,03.00,[100.00,30.33,30.33]	
0:A100,03.90,[100.00,15.64,26.20]	5:A100,04.20,[100.00,08.71,52.51]	10:A100,03.90,[100.00,04.20,07.42]	15:A100,03.50,[100.00,29.40,29.40]	20:B000,06.40,[100.00,84.16,124.14]	25:A100,04.70,[100.00,42.76,19.87]	30:A100,04.20,[100.00,76.36,39.91]	35:A100,05.10,[100.00,67.30,49.99]	40:B220,06.20,[100.00,219.22,30.78]	45:A100,03.50,[100.00,30.33,30.33]	
0:A100,04.40,[100.00,15.64,26.20]	5:A100,04.70,[100.00,08.71,52.51]	10:A100,04.40,[100.00,04.20,07.42]	15:A100,04.00,[100.00,29.40,29.40]	20:C180,07.30,[100.00,84.16,157.73]	25:B000,04.70,[100.00,08.49,19.87]	30:A100,04.70,[100.00,76.36,39.91]	35:A100,05.60,[100.00,67.30,49.99]	40:B000,06.20,[100.00,40.87,30.78]	45:A100,04.00,[100.00,30.33,30.33]	
0:A100,04.90,[100.00,15.64,26.20]	5:A100,05.20,[100.00,08.71,52.51]	10:A100,04.90,[100.00,04.20,07.42]	15:A100,04.50,[100.00,29.40,29.40]	20:C180,08.20,[100.00,84.16,171.12]	25:A100,05.20,[100.00,08.49,19.87]	30:A100,05.20,[100.00,76.36,39.91]	35:A100,06.10,[100.00,67.30,49.99]	40:A100,06.70,[100.00,40.87,30.78]	45:A100,04.50,[100.00,30.33,30.33]	
0:A100,05.40,[100.00,15.64,26.20]	5:A100,05.70,[100.00,08.71,52.51]	10:A100,05.40,[100.00,04.20,07.42]	15:A100,05.00,[100.00,29.40,29.40]	20:C180,09.10,[100.00,84.16,176.46]	25:A100,05.70,[100.00,08.49,19.87]	30:A100,05.70,[100.00,76.36,39.91]	35:C180,07.00,[100.00,67.30,137.81]	40:A100,07.20,[100.00,40.87,30.78]	45:A100,05.00,[100.00,30.33,30.33]	
0:A100,05.90,[100.00,15.64,26.20]	5:A100,06.20,[100.00,08.71,52.51]	10:A100,05.90,[100.00,04.20,07.42]	15:A100,05.50,[100.00,29.40,29.40]	20:C000,09.10,[100.00,84.16,70.34]	25:A100,06.20,[100.00,08.49,19.87]	30:A100,06.20,[100.00,76.36,39.91]	35:C000,07.00,[100.00,67.30,44.72]	40:A100,07.70,[100.00,40.87,30.78]	45:A100,05.50,[100.00,30.33,30.33]	
